package  com.atguigu.java1;	package com.atguigu.java1;
import java.io.File;	import java.io.File;
import java.io.FileInputStream;	import java.io.FileInputStream;
import java.io.FileotFundException;	import java.io.FileNotFoundException;
import java.io.IOException;;	import java.io.IOException;
public class ExceptionTest2 l	public class ExceptionTest2 {
	
	
ublic static  void mainString args{	public static void main(String[] args){
try	try{
ethod2;	method2();
	
}catchIOException el	}catch(IOException e){
e.printStackTrace	e.printStackTrace();
}	}
	
	
}	}
	
	
publc static void method3{	public static void method3(){
try {	try {
method2;	method2();
1 catch lIOException e {	} catch (IOException e) {
eprintStackTracelf;	e.printStackTrace();
}	}
}	}
	
	
public static void method2 throws IOExcetion{	public static void method2() throws IOException{
method1l;	method1();
}	}
	
	
public static void  method1 throws FileNotFoundException,IOException{	public static void method1() throws FileNotFoundException,IOException{
File file= new File"ello1.txt";	File file = new File("hello1.txt");
FileInputStream fis =  new FileInputStreamilef;	FileInputStream fis = new FileInputStream(file);
	
int data = is.ead;	int data = fis.read();
whiledata!= -1l	while(data != -1){
System.out.printcharfdata;	System.out.print((char)data);
ata =  fis..read;	data = fis.read();
}	}
	
fis..close;	fis.close();
	
System.out.println"hahaha!"";	System.out.println("hahaha!");
}	}
	
	
}	}
