package comatguigu.java1;	package com.atguigu.java1;
publi class ValueTransferTes1 1	public class ValueTransferTest1 {
public static voidmainString args {	public static void main(String[] args) {
	
int m  = 10;	int m = 10;
int n = 20;	int n = 20;
	
Sysem.out.printlnfm  = " + m + ", n = " + n;	System.out.println("m = " + m + ", n = " + n);
	
ValeTransferTest1 test =new ValueTransferTest1;	ValueTransferTest1 test = new ValueTransferTest1();
test.swapm, n;	test.swap(m, n);
	
System.out.println"m=  "  + m +",  = " + n;	System.out.println("m = " + m + ", n = " + n);
	
	
}	}
	
	
public void swapint m,int n{	public void swap(int m,int n){
inttemp = m ;	int temp = m ;
m = n;;	m = n;
n  =  temp;	n = temp;
	}
l	}
