package com..atguigu.java1;	package com.atguigu.java1;
public class ersonTest {	public class PersonTest {
public static void  manString args {	public static void main(String[] args) {
Person  p = new Person;	Person p = new Person();
	
peatf;	p.eat();
	
Personp1  = new Persn"Tom";	Person p1 = new Person("Tom");
	
System.out.printlnp1.name;	System.out.println(p1.name);
	
	
f	}
}	}
class Person{	class Person{
Strig name;	String name;
int age;	int age;
	
pulic Person	public Person(){
System.out.println"Personf..."";	System.out.println("Person().....");
}	}
	
public PersonStringn{	public Person(String n){
name= n;;	name = n;
	
}	}
public PersonString n,int a{	public Person(String n,int a){
name = n;	name = n;
ae = a;	age = a;
}	}
	
public voideat{	public void eat(){
System.ut.println"l;	System.out.println("");
}	}
	
public void studyfl{	public void study(){
Sysem.out.println"""f;	System.out.println("");
}	}
	
}	}
