pckage v2ch07.DesktopAppTest;;	package v2ch07.DesktopAppTest;
import javawt.*;	import java.awt.*;
import javaawt.event.	import java.awt.event.*;
import java..i.*	import java.io.*;
impot java.net.*;	import java.net.*;
import javax.swing.*;	import javax.swing.*;
public class DesktopAppest	public class DesktopAppTest
{	{
public static void mainStringf args	public static void main(String[] args)
	{
EventQueue.invokeLaternew  Runnablefl	EventQueue.invokeLater(new Runnable()
{	{
public void runl	public void run()
{	{
JFrame frame = new DesktopAppFrame;	JFrame frame = new DesktopAppFrame();
frame.setDefaultCloseOperationJFrame.EXIT_ON_CLOSE	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletrue;	frame.setVisible(true);
}	}
};	});
f	}
f	}
classDesktopAppFrame extends JFrame	class DesktopAppFrame extends JFrame
{	{
public DesktopAppFramef	public DesktopAppFrame()
{	{
setLayoutnew GridBagLayoutl;	setLayout(new GridBagLayout());
final JFileChooser  chooser = new JFileChooser;	final JFileChooser chooser = new JFileChooser();
JButton fileChooserButton  = new JButton...."l;	JButton fileChooserButton = new JButton("...");
fnal  JTextField fileField = new JTextField20;	final JTextField fileField = new JTextField(20);
fileField.setEditabefalse;	fileField.setEditable(false);
JButton openButton = new JButton"Open";	JButton openButton = new JButton("Open");
JButton editButton = newJButton"Edit";	JButton editButton = new JButton("Edit");
JButton printButton=newJButtonf"Print";	JButton printButton = new JButton("Print");
final JTextFieldbrwseField = new JTextFieldf	final JTextField browseField = new JTextField();
JButton browseButton = new JButtonBrowse";	JButton browseButton = new JButton("Browse");
final JTextField  toField = new JTextFied;	final JTextField toField = new JTextField();
final JTextField subjectField = newJTextField;	final JTextField subjectField = new JTextField();
JButton mailButton = new JButton"Mail";	JButton mailButton = new JButton("Mail");
openButton.setEnabledfalse;;	openButton.setEnabled(false);
editButtn.setEnabledfalsef;	editButton.setEnabled(false);
printButton.setEnabledfalse;	printButton.setEnabled(false);
browseButton.setEnabledfals;	browseButton.setEnabled(false);
mailButton..etEnableflse;	mailButton.setEnabled(false);
if fDsktop.isDesktopSupportedf	if (Desktop.isDesktopSupported())
{	{
Desktop desktop = esktop.getDesktop;	Desktop desktop = Desktop.getDesktop();
if desktop.isSupportedDesktop.Action.OPENf penButton.setEnabledltruel;	if (desktop.isSupported(Desktop.Action.OPEN)) openButton.setEnabled(true);
iffdesktop.isSupportedlDesktop.Action.EDIT editButton.setEnabledtrue	if (desktop.isSupported(Desktop.Action.EDIT)) editButton.setEnabled(true);
if deskto..isSupportedDesktop.Action.PRINT  printButton.setEnabledtrue;	if (desktop.isSupported(Desktop.Action.PRINT)) printButton.setEnabled(true);
f desktop.isSuportedlDesktop.Action.BROWSE  browseButtonetEnabledtrue;	if (desktop.isSupported(Desktop.Action.BROWSE)) browseButton.setEnabled(true);
if desktop.isSupportedsktop..Action.MAIL mailButton.setEnabledtru;	if (desktop.isSupported(Desktop.Action.MAIL)) mailButton.setEnabled(true);
}	}
fleCooserButon.addActionListenernew ActionListener	fileChooserButton.addActionListener(new ActionListener()
{	{
public void actionPerformeActionEvente	public void actionPerformed(ActionEvent e)
{	{
if chooser.showOpenDialogDesktopAppFrame.this == JFileChooser.APPROVE_OPTIONl	if (chooser.showOpenDialog(DesktopAppFrame.this) == JFileChooser.APPROVE_OPTION)
fileField.seTextchooser.getSelecedFilegetAbsolutePathf;	fileField.setText(chooser.getSelectedFile().getAbsolutePath());
1	}
f;;	});
openButton.addActionListenernew ActionListener	openButton.addActionListener(new ActionListener()
{	{
pulic voidactionPerformedActionEvent ef	public void actionPerformed(ActionEvent e)
{	{
try	try
{	{
Desktop.geDesktop.openchooser.getSelctedFilef;	Desktop.getDesktop().open(chooser.getSelectedFile());
	}
catch IOException ex	catch (IOException ex)
{	{
ex.printStackTracef;	ex.printStackTrace();
}	}
1	}
};	});
editButton.addActionListenernew ActionListenerf	editButton.addActionListener(new ActionListener()
{	{
