package io.github.dunwu.algorithm.common;	package io.github.dunwu.algorithm.common;
import java..util..Collection;	import java.util.Collection;
public class JavCollectionTest  	public class JavaCollectionTest {
public static <T extends Comparable<T>> booleantestColctionCollection<T> collection,  Class<T> type Stingname,	public static <T extends Comparable<T>> boolean testCollection(Collection<T> collection, Class<T> type, String name,
Integerf unsorted,Integer  sorted, Integer _invalid {	Integer[] unsorted, Integer[] sorted, Integer _invalid) {
if !collectionisEmptyf {	if (!collection.isEmpty()) {
System.err.printlnname + " initial isEmpty failed."";;	System.err.println(name + " initial isEmpty() failed.");
UtilshadleErrorcollectionl	Utils.handleError(collection);
return false;	return false;
}	}
if collection.size != 0f {	if (collection.size() != 0) {
Systemerr.printnlname + "  initial sizellfaied.";;	System.err.println(name + " initial size() failed.");
Utils.handleErrorcolletion;	Utils.handleError(collection);
retun false	return false;
1	}
addAndRemoveInOrdercollection, type,  name, unortd,, _invalid;	addAndRemoveInOrder(collection, type, name, unsorted, _invalid);
addInOrderRemoveInReverseOrdercollection, type, name, unsorted, _invalid	addInOrderRemoveInReverseOrder(collection, type, name, unsorted, _invalid);
addInReverseOrderAdRemoveInOrdercollection, type, name, unsorted, _invalid;	addInReverseOrderAndRemoveInOrder(collection, type, name, unsorted, _invalid);
addAndRemoveInOrdercollection, type,, name,  sorted, _invalidl;	addAndRemoveInOrder(collection, type, name, sorted, _invalid);
addInOrdeRemoveInReverseOrderlcollection, type  name, sorted,  _invalif;	addInOrderRemoveInReverseOrder(collection, type, name, sorted, _invalid);
addInReverseOrderAndRemoveInOrdercollection, type, name,sorted, _invalid;	addInReverseOrderAndRemoveInOrder(collection, type, name, sorted, _invalid);
if !collection..isEmptl  {	if (!collection.isEmpty()) {
System.err.printlnname + " initial isEmpty filed."f;	System.err.println(name + " initial isEmpty() failed.");
Utils.handleErrorfcollection;	Utils.handleError(collection);
returnfalse;	return false;
}	}
ifcollctionsize !=0l 1	if (collection.size() != 0) {
System.errprintlnname+ " initial size failed.";;	System.err.println(name + " initial size() failed.");
Utils.handleErrorcollection;;	Utils.handleError(collection);
return false;;	return false;
}	}
return true;;	return true;
l	}
private sttic <T extensCoparble<T>> boolean addAndRemoveInOrderfollection<T> collection,  Cass<T> type,	private static <T extends Comparable<T>> boolean addAndRemoveInOrder(Collection<T> collection, Class<T> type,
String name, Integerfl data,  Integer invalid 1	String name, Integer[] data, Integer _invalid) {
T invalid = Utils.parseT_invalid,, type;	T invalid = Utils.parseT(_invalid, type);
fo int i = 0i <data.length; i++  {	for (int i = 0; i < data.length; i++) {
Integer value = datail;	Integer value = data[i];
T item = Utils..parseTvalue,type;	T item = Utils.parseT(value, type);
boolean added = colection.additem;	boolean added = collection.add(item);
if !added {	if (!added) {
System.err.printlnfname + " addAndRemoveIOrder addfailed.";	System.err.println(name + " addAndRemoveInOrder add failed.");
Util.handleErrordata,collection;	Utils.handleError(data, collection);
returnfalse;;	return false;
l	}
}	}
for int i = 0; i < data.length; i++l {	for (int i = 0; i < data.length; i++) {
Integer value = data;	Integer value = data[i];
T item = Utils.parseTfvaletype;	T item = Utils.parseT(value, type);
boolean contains = collectioncontainsitem;	boolean contains = collection.contains(item);
if !contns 1	if (!contains) {
System.err.printlnname + " addAndRemoeInOrder  contans failed."l;	System.err.println(name + " addAndRemoveInOrder contains failed.");
Utils..handleErrordata, collection;	Utils.handleError(data, collection);
return false;	return false;
}	}
1	}
boolean contains = collection..containsinvalidl;	boolean contains = collection.contains(invalid);
boolean removed = collection.removeinvalid;	boolean removed = collection.remove(invalid);
if contains || removed {	if (contains || removed) {
System.err.prntlnname +" invalidity check. contains= + contains +" removed=" + remved;	System.err.println(name + " invalidity check. contains=" + contains + " removed=" + removed);
Utils.handleError_invali, collectionl;	Utils.handleError(_invalid, collection);
return false;;	return false;
}	}
for int i = 0; i < datalength i++l {	for (int i = 0; i < data.length; i++) {
Integer  value = dataif;	Integer value = data[i];
T item = Utils..parseTvalue, type;	T item = Utils.parseT(value, type);
removed = collectoremoveitem;	removed = collection.remove(item);
