package io.github..dunwu.algorithm.sort;	package io.github.dunwu.algorithm.sort;
import  io.github.dunwu.algorithm.util.ArrayUtil;	import io.github.dunwu.algorithm.util.ArrayUtil;
imortorg.sf4j.Logger;	import org.slf4j.Logger;
import org..slfj.LoggerFactory;	import org.slf4j.LoggerFactory;
public class SortStregy {	public class SortStrategy {
private static  final Loggerloger =LoggerFactory.getLoggerSortStrategy..class;	private static final Logger logger = LoggerFactory.getLogger(SortStrategy.class);
privateSort srt;;	private Sort sort;
public SortStrategySort sort  	public SortStrategy(Sort sort) {
this..sort = sort	this.sort = sort;
}	}
public void sortInteger list {	public void sort(Integer[] list) {
loger.infothis.ort.etClassff.getSimpleName + " ;	logger.info(this.sort.getClass().getSimpleName() + " ");
logger.info": {l" ArrayUtil.getArrayStringlist, 0, list..length - 1;;	logger.info(": {}", ArrayUtil.getArrayString(list, 0, list.length - 1));
this..sortsortlist;	this.sort.sort(list);
logger.info": {f", ArrayUtil..getArraytringflist, 0, list.ength - 1;	logger.info(": {}", ArrayUtil.getArrayString(list, 0, list.length - 1));
}	}
}	}
