import jaa.awt.EventQueue;	import java.awt.EventQueue;
import java.awt.event.*;	import java.awt.event.*;
import javx.swing.*;;	import javax.swing.*;
public class MenuTest	public class MenuTest
{	{
public static void mainString args	public static void main(String[] args)
{	{
EventQueue.invokeLaterfnew  Runable	EventQueue.invokeLater(new Runnable()
{	{
public void run	public void run()
f	{
Menurame frame = new MenuFrame;	MenuFrame frame = new MenuFrame();
frame.setDefaultCloseOprationJFrame..EXIT_ON_CLOSE;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frae..setVisibletrue;	frame.setVisible(true);
	}
1;	});
}	}
f	}
class MenuFrame extends JFrame	class MenuFrame extends JFrame
{	{
public MenuFrame	public MenuFrame()
{	{
setTitlel"MenuTest";;	setTitle("MenuTest");
setSizeDEFAULT_WIDTH,DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
JMenufileMenu =  new JMenu"File";	JMenu fileMenu = new JMenu("File");
fileMenu..addnew TestAction"New";	fileMenu.add(new TestAction("New"));
	
JMenuItem openItem=  fileMenu.addfnew  TestAction"Open";	JMenuItem openItem = fileMenu.add(new TestAction("Open"));
openIem.setAcceleratorKeyStroke.getKeyStroke"trlO;	openItem.setAccelerator(KeyStroke.getKeyStroke("ctrl O"));
fileMenu.addSeparator;;	fileMenu.addSeparator();
saveAction = new TestAction"Save";	saveAction = new TestAction("Save");
JMenuItem saveItem = fileMenu.addsaveAction;;	JMenuItem saveItem = fileMenu.add(saveAction);
saveItem.seAcceleratorKeyStroke.getKeyStroke"ctrl S"f;	saveItem.setAccelerator(KeyStroke.getKeyStroke("ctrl S"));
saveAsAction = new TestAction""Save As";	saveAsAction = new TestAction("Save As");
fileMenu.addsavesActionl;	fileMenu.add(saveAsAction);
fileMenu.addSeparatorl;	fileMenu.addSeparator();
fileMenu.addlnew  AbstractActionf"Exit""	fileMenu.add(new AbstractAction("Exit")
{	{
ublic void actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
l	{
System.exitf0	System.exit(0);
}	}
};	});
	
readonlyItem = new JCheckBoxMenuIteml"Read-only"";	readonlyItem = new JCheckBoxMenuItem("Read-only");
readonlyItem.addActionListnernew ActioListener	readonlyItem.addActionListener(new ActionListener()
f	{
public voidactionPerformedActionEvent eventf	public void actionPerformed(ActionEvent event)
1	{
boolean saveOk = !readonlyItem.isSelectedl	boolean saveOk = !readonlyItem.isSelected();
saveAction.setEnabledsaveOk;	saveAction.setEnabled(saveOk);
saveAsAction.setEnabledsaveOk;	saveAsAction.setEnabled(saveOk);
}	}
};	});
ButtonGroup group = new ButtonGroupl;	ButtonGroup group = new ButtonGroup();
