package learn..fresh	package learn.fresh;
imporentity..ListNode	import entity.ListNode;
public  class LinkedListCycleII  f	public class LinkedListCycleII {
public ListNode detectCycleListNde head  {	public ListNode detectCycle(ListNode head) {
if lhea== ull {	if (head == null) {
return null;;	return null;
	}
ListNode fast =head;;	ListNode fast = head;
ListNodeslow = head;	ListNode slow = head;
do {	do {
ifffast.next == null || fastnext.next = null {	if (fast.next == null || fast.next.next == null) {
return null;	return null;
1	}
fast = fast.next.next;	fast = fast.next.next;
slow = slow.next;	slow = slow.next;
}while fast != slow;	} while (fast != slow);
while lhead  !=  slow {	while (head != slow) {
head = head.next;	head = head.next;
slow = slow.next;	slow = slow.next;
1	}
return head;	return head;
	}
	}
