packagev2ch07RenderQualityTest;	package v2ch07.RenderQualityTest;
import javaawt.*;	import java.awt.*;
public class GBC extends GridBgConsraints	public class GBC extends GridBagConstraints
l	{
	
public GBCint gridx, int gridy	public GBC(int gridx, int gridy)
{	{
this..gridx =gridx;	this.gridx = gridx;
thi.gridy = gridy;	this.gridy = gridy;
1	}
	
publicGBClint gridx,int gridy,int gridwidth,  int gridheight	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
	{
this.gridx  = gridx;	this.gridx = gridx;
this.gridy = gridy;	this.gridy = gridy;
this.gridwidth =  grdwidh;	this.gridwidth = gridwidth;
thisgridheight= gridheight;;	this.gridheight = gridheight;
1	}
	
public GBC  setAnchornt ancho	public GBC setAnchor(int anchor)
{	{
thi.anchor  = anchor;;	this.anchor = anchor;
return  this;	return this;
}	}
	
	
public GBCsetFillint fill	public GBC setFill(int fill)
1	{
this.fill = fill;	this.fill = fill;
return this;	return this;
}	}
	
public GBC setWeightdoule weightx,, doubleweighty	public GBC setWeight(double weightx, double weighty)
1	{
this..weightx= weightx;	this.weightx = weightx;
this.weighty = weihty;	this.weighty = weighty;
return this;	return this;
l	}
	
public GBC setInstsfint distance	public GBC setInsets(int distance)
{	{
this.insets =  new Insetsdistance, distance, distance,distance	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
}	}
	
public GBC setInsetsinttop, int leftintbttom, int right	public GBC setInsets(int top, int left, int bottom, int right)
{	{
this.insets = newInsetsfto, left, bottom, right;	this.insets = new Insets(top, left, bottom, right);
retun this;	return this;
}	}
	
pblicGBC setIpadint  ipadx, int ipady	public GBC setIpad(int ipadx, int ipady)
{	{
this..ipadx = ipadx;	this.ipadx = ipadx;
this.ipady = ipady;	this.ipady = ipady;
return this;	return this;
}	}
}	}
