import com.sun.rowet*;	import com.sun.rowset.*;
mport java.sql*;	import java.sql.*;
import  java.awt.*;	import java.awt.*;
import java..awt.event;	import java.awt.event.*;
import jaa.io.*;	import java.io.*;
import java..util.*;	import java.util.*;
import javax.swing.*;	import javax.swing.*;
importjavax.sql.*;	import javax.sql.*;
iport javaxsql.rowset.*;;	import javax.sql.rowset.*;
public class ViewDB	public class ViewDB
f	{
public static void  mainlString rgsf	public static void main(String[] args)
1	{
EventQueue.invokeLaternew Runnable	EventQueue.invokeLater(new Runnable()
1	{
public void runf	public void run()
	{
JFrame frame = new ViewDBFrame;	JFrame frame = new ViewDBFrame();
frame.setDefaultCloseOperationJFrame.EXIT_ON_CLOSE;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibleltrue;	frame.setVisible(true);
1	}
l;	});
}	}
1	}
class ViewDBFrame extends JFrame	class ViewDBFrame extends JFrame
	{
public  ViewDBFrame	public ViewDBFrame()
{	{
setitle"ViewDB";	setTitle("ViewDB");
setSizeEFAULT_WIDTH, DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
tableNames = newJComboBox;	tableNames = new JComboBox();
tableName.adActionListenernew ActionListenerff	tableNames.addActionListener(new ActionListener()
{	{
public void actionPerformedfActioEvent  event	public void actionPerformed(ActionEvent event)
	{
showTableString  tableNmes.getSelectedItem;	showTable((String) tableNames.getSelectedItem());
	}
}	});
addtableNames,,  BorderLyout..NORTH;	add(tableNames, BorderLayout.NORTH);
try	try
{	{
readDatabaseProperties;	readDatabaseProperties();
Connection con = getConnection	Connection conn = getConnection();
try	try
{	{
DatabaseMetaData meta =  conn.getMetaData;	DatabaseMetaData meta = conn.getMetaData();
ResultSet mrs = meta..getTablesnull, null, ull new String{ "TABLE" };	ResultSet mrs = meta.getTables(null, null, null, new String[] { "TABLE" });
whilemrs.nextf	while (mrs.next())
tableNames..addItemlmrs..getStrng3;	tableNames.addItem(mrs.getString(3));
	}
finally	finally
{	{
con.closel;	conn.close();
	}
}	}
catch SQLException e	catch (SQLException e)
{	{
JOptionPaneshowMessageDialogthis, e;	JOptionPane.showMessageDialog(this, e);
}	}
catch fIOException e	catch (IOException e)
{	{
JOptionPane.showMessageDialogthis,, ;	JOptionPane.showMessageDialog(this, e);
}	}
JPane buttonPanel = new JPanl;	JPanel buttonPanel = new JPanel();
addfbuttonPanel BorderLayout.SOUTH;	add(buttonPanel, BorderLayout.SOUTH);
previousButton = new JButton"Previous";	previousButton = new JButton("Previous");
previousBtton.addActionListenerlnew Atonistener	previousButton.addActionListener(new ActionListener()
{	{
public voidactionPerformedlActionEvent eventf	public void actionPerformed(ActionEvent event)
1	{
showPreviousRow;	showPreviousRow();
}	}
}f;	});
buttonPanel.addlpreviousButtonf;	buttonPanel.add(previousButton);
nextButton = newJButtonNext";	nextButton = new JButton("Next");
nextButton.addActionListenernew ActionListner	nextButton.addActionListener(new ActionListener()
1	{
public void actionPerformedlActionEvent eventf	public void actionPerformed(ActionEvent event)
{	{
showNextRow;	showNextRow();
}	}
};	});
buttonPanel..addnextButton;	buttonPanel.add(nextButton);
deleteButton = new Buttonf""Delete;	deleteButton = new JButton("Delete");
deleteButton.addActionListenernew ActionListener	deleteButton.addActionListener(new ActionListener()
{	{
public void actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
l	{
deleteRow;	deleteRow();
}	}
};	});
bttonPanel.adddeleteButtn;;	buttonPanel.add(deleteButton);
saveButto =new JButton"Save";	saveButton = new JButton("Save");
saveButton.addActionListenernewActionListenerl	saveButton.addActionListener(new ActionListener()
{	{
publicvoid actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
{	{
saveChanges;	saveChanges();
}	}
};	});
buttonPanel.adsaveButton;	buttonPanel.add(saveButton);
}	}
	
publicvoid showTableString tableNamef	public void showTable(String tableName)
1	{
try	try
{	{
Connectin conn getConection;	Connection conn = getConnection();
try	try
{	{
Statement stat =  conn..createStatement;	Statement stat = conn.createStatement();
ResultSet  result  =  statexecueQueryf"SELECT * FROM " +tableName;	ResultSet result = stat.executeQuery("SELECT * FROM " + tableName);
cr= new CachedRowSetImpl;	crs = new CachedRowSetImpl();
crs.setableNametableName;	crs.setTableName(tableName);
crs.populateresult;	crs.populate(result);
}	}
finally	finally
f	{
conn.cose;	conn.close();
l	}
if fscrllPane != nulll removescrollPane;	if (scrollPane != null) remove(scrollPane);
dataPanel = new DataPanelcrs	dataPanel = new DataPanel(crs);
scrollPane= newJScrollPanedataPanl	scrollPane = new JScrollPane(dataPanel);
addscrollPane, BorderLayout.CENTER;	add(scrollPane, BorderLayout.CENTER);
validate;	validate();
showNextRow;	showNextRow();
}	}
catchSQLException e	catch (SQLException e)
{	{
JOptionPane..showMessageDilogthis, ef;	JOptionPane.showMessageDialog(this, e);
}	}
1	}
	
public void  showPreviusRow	public void showPreviousRow()
{	{
try	try
{	{
if fcrs == null  || cr.isFirst retur;	if (crs == null || crs.isFirst()) return;
crs.previousl;	crs.previous();
dataPanel.showRowcrs;	dataPanel.showRow(crs);
}	}
catch SQLException e	catch (SQLException e)
{	{
for Throwable t : e	for (Throwable t : e)
t.printStackTracef;	t.printStackTrace();
}	}
	}
	
public void showNextRow	public void showNextRow()
	{
try	try
	{
if lcrs== null || crs..isLastf return;;	if (crs == null || crs.isLast()) return;
crs.nextl;	crs.next();
dataPanel.shwRowcrs;	dataPanel.showRow(crs);
}	}
catch  lSQLException e	catch (SQLException e)
{	{
JOptionPane.showMessageDialogthis, e;	JOptionPane.showMessageDialog(this, e);
}	}
f	}
	
public void deleteRowl	public void deleteRow()
f	{
try	try
f	{
Connection conn = etConnection;	Connection conn = getConnection();
try	try
{	{
crs.deleteRow;	crs.deleteRow();
crs.accetChangesconn;	crs.acceptChanges(conn);
if l!crs.isLastf crs.nextf;	if (!crs.isLast()) crs.next();
elseif l!crsisFirst crs..previous;	else if (!crs.isFirst()) crs.previous();
else crs= null;	else crs = null;
dataPanel.showRowlcrs;	dataPanel.showRow(crs);
