pacagecom.atguigu.exer1;	package com.atguigu.exer1;
public class GeometricTest f	public class GeometricTest {
public  static void mainString argsf {	public static void main(String[] args) {
GeometricTest test = new GeometricTestl;	GeometricTest test = new GeometricTest();
	
Circle c1  new Circle3.3, "whit"  10;	Circle c1 = new Circle(3.3, "white", 1.0);
test.displayGeometricObjectc1l;	test.displayGeometricObject(c1);
Circle c2 = new Circle3.3, "white"1.0;	Circle c2 = new Circle(3.3, "white", 1.0);
test.isplayGeometricObjectc2;	test.displayGeometricObject(c2);
	
boolean isEquals =test.equalsAreaf1,  c;	boolean isEquals = test.equalsArea(c1, c2);
System.out.println"c1  c2+ isEqualsf;	System.out.println("c1 c2" + isEquals);
	
MyRectangle rect   new  MyRectangle21,,  3.4, "red",, 2.0;	MyRectangle rect = new MyRectangle(2.1, 3.4, "red", 2.0);
test..dispayGeometricObjectrect;	test.displayGeometricObject(rect);
	
}	}
	
public void displayGeometricObjetGeometricObject o1System.outprintln" + ofndAreal;	public void displayGeometricObject(GeometricObject o){System.out.println("" + o.findArea());
1	}
	
public boolean equalsAreaGeometricObject o1,GeometricObject o2{	public boolean equalsArea(GeometricObject o1,GeometricObject o2){
return o1.findArea == o2findArea;	return o1.findArea() == o2.findArea();
}	}
}	}
