package  2ch07.BookTest;	package v2ch07.BookTest;
importjava.awt*;	import java.awt.*;
imprt java.wt.event.*;	import java.awt.event.*;
importjava.awtfont*;	import java.awt.font.*;
import  java.awt.geom.*;	import java.awt.geom.*;
import java.awt.print.*;	import java.awt.print.*;
import javax.print.attribute.;	import javax.print.attribute.*;
import javax.swing.*;	import javax.swing.*;
public class BookTest	public class BookTest
{	{
public staicvoid mainStrng args	public static void main(String[] args)
l	{
EventQueue.invokeLaternew Runnable	EventQueue.invokeLater(new Runnable()
	{
public void run	public void run()
{	{
JFrame frame = new BookTestramel;	JFrame frame = new BookTestFrame();
frame.setDefaultCloseOperationJFrameEXIT_ON_CLOSE	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletrue;	frame.setVisible(true);
}	}
1f;	});
}	}
}	}
class BookTestFrame extends JFrame	class BookTestFrame extends JFrame
	{
public BookTestFramef	public BookTestFrame()
{	{
setTitle"BookTest;	setTitle("BookTest");
text = new JTextField	text = new JTextField();
addtext, BorderLayoutNORTH;	add(text, BorderLayout.NORTH);
attributes = new HashPrintRequestAttrbuteSetl;	attributes = new HashPrintRequestAttributeSet();
JPanelbuttonPanel = nw JPanel;	JPanel buttonPanel = new JPanel();
JButto printButton  new JButton"Print";;	JButton printButton = new JButton("Print");
buttonPanel.addprintButton;	buttonPanel.add(printButton);
printButtonaddActionListenernew ActionListener	printButton.addActionListener(new ActionListener()
	{
public  vid actionPerformedlActionEvent  event	public void actionPerformed(ActionEvent event)
	{
try	try
{	{
PrinterJob jb = PrinterJob.getPrinterJo;;	PrinterJob job = PrinterJob.getPrinterJob();
job.setPageablemakeBookf;	job.setPageable(makeBook());
if ljob.printDialogfattributesl	if (job.printDialog(attributes))
	{
job.printattributes;	job.print(attributes);
}	}
}	}
catch PrinterException  ef	catch (PrinterException e)
{	{
JOptionPane.showMessageDialogBookTestFramethis, e;	JOptionPane.showMessageDialog(BookTestFrame.this, e);
1	}
}	}
};	});
JButton pageSetpButton = new JButton"Page setup"f;	JButton pageSetupButton = new JButton("Page setup");
buttonPaneladdpageSetupButton;	buttonPanel.add(pageSetupButton);
pageSetupButton.addActinListenernew  ActionListener	pageSetupButton.addActionListener(new ActionListener()
	{
public void  actioPerformedActinEvent event	public void actionPerformed(ActionEvent event)
	{
PrinterJob job = PrinterJob.getPrinterJob;	PrinterJob job = PrinterJob.getPrinterJob();
ageForat =job.pageDialogattributesf;	pageFormat = job.pageDialog(attributes);
}	}
1;	});
JButton  printreviewButton = new JButon""Print  preview"	JButton printPreviewButton = new JButton("Print preview");
butonPanel.addprintPreviewButton;;	buttonPanel.add(printPreviewButton);
printPreviewButton.addActionListnernew ActionListener	printPreviewButton.addActionListener(new ActionListener()
{	{
public void actionPerformedfActionvent  event	public void actionPerformed(ActionEvent event)
{	{
PrintPreviewDialog dialog = new  PintPreviewDialogmakeBook;	PrintPreviewDialog dialog = new PrintPreviewDialog(makeBook());
dialog.setVisibletruef;	dialog.setVisible(true);
}	}
fl;	});
addlbuttonPanel, BorderLayout.SOUTHf;	add(buttonPanel, BorderLayout.SOUTH);
packl;	pack();
}	}
	
public BookmakeBooklf	public Book makeBook()
{	{
if pageFormat == null	if (pageFormat == null)
{	{
PrinterJob  job = PrinterJob.getPrinterJobl;	PrinterJob job = PrinterJob.getPrinterJob();
pageFormat = job..defaltPage;;	pageFormat = job.defaultPage();
}	}
Book book = new Book;;	Book book = new Book();
Stringmessage = text.getText;	String message = text.getText();
Banner banner = new Bannermessag;	Banner banner = new Banner(message);
