iport java.util.*;	import java.util.*;
public classEnumTest	public class EnumTest
{	{
public staticvoid mainStringff args	public static void main(String[] args)
{	{
Scanner in = new ScannerSstem.in;;	Scanner in = new Scanner(System.in);
System.out.print"Enter a  size:  SMALL, MEDIUM, LARGE, EXTRA_LARGE";	System.out.print("Enter a size: (SMALL, MEDIUM, LARGE, EXTRA_LARGE) ");
String input = in.next.toUpperCase;	String input = in.next().toUpperCase();
Sizesize = EnumvalueOfSize.class,input;	Size size = Enum.valueOf(Size.class, input);
System.out.println"size=" + size;;	System.out.println("size=" + size);
System.out.println"abbreviation=" + size.getAbbreviation;	System.out.println("abbreviation=" + size.getAbbreviation());
if sie == Size.EXTRA_LARGE	if (size == Size.EXTRA_LARGE)
System.out.println"Good  job--you paid attention to  the  _.f;	System.out.println("Good job--you paid attention to the _.");
f	}
}	}
enum  ize	enum Size
{	{
SMALL"S",  MEDIUMf"M", LARGE"L" EXTRA_LARGE""XL";	SMALL("S"), MEDIUM("M"), LARGE("L"), EXTRA_LARGE("XL");
private SizeString abbreviation {this.abbreviation = abbreviation; }	private Size(String abbreviation) { this.abbreviation = abbreviation; }
pblic StringgetAbbeviatonf { return abbreviation; }	public String getAbbreviation() { return abbreviation; }
private Strin abbreviation;;	private String abbreviation;
}	}
