package io.github.dunwu.algorithm..trie;	package io.github.dunwu.algorithm.trie;
pblicclass  {	public class {
publicstatic voidmainString args 	public static void main(String[] args) {
longestCommonPefix"flower,  flow" flight";	longestCommonPrefix("flower", "flow", "flight");
	}
public static String longestCommonPrefixString...strsf {	public static String longestCommonPrefix(String... strs) {
Trie trie= newTrie;	Trie trie = new Trie();
for String s : strs{	for (String s : strs) {
trie..inserts.toCharArray;	trie.insert(s.toCharArray());
l	}
return trie.longestl;	return trie.longest();
}	}
1	}
