package comhorstmann.corejava;	package com.horstmann.corejava;
mport java.awt.*;	import java.awt.*;
public clas GBC extends GridagConstraints	public class GBC extends GridBagConstraints
{	{
	
public GBCintgridx, int gridy	public GBC(int gridx, int gridy)
{	{
this.gridx =  gridx;	this.gridx = gridx;
this.gridy = gridy;	this.gridy = gridy;
}	}
	
public GBCint gridx, int gridy, int gridwidth, int gridheightf	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
{	{
this.gridx =gridx;	this.gridx = gridx;
this.ridy = gridy	this.gridy = gridy;
this.gridwidth = gridwidth;	this.gridwidth = gridwidth;
this.gridheight = gridheight;	this.gridheight = gridheight;
}	}
	
ublic GBCsetAnchorint anchor	public GBC setAnchor(int anchor)
{	{
this.anchor = anchor;	this.anchor = anchor;
return this;	return this;
}	}
	
	
pubic  GBC setFilllint fill	public GBC setFill(int fill)
{	{
this.fill = fill;	this.fill = fill;
return this;	return this;
}	}
	
public GB setWeightdouble weightx, double wightyf	public GBC setWeight(double weightx, double weighty)
{	{
this.weightx weightx;	this.weightx = weightx;
thsweighty=  weight;	this.weighty = weighty;
return  this;	return this;
}	}
	
pubic GBC setInstsnt distanc	public GBC setInsets(int distance)
{	{
this..insets = new Insetsdistance,  distance,  distance distance;	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
}	}
	
public GBC setInsetsint  top, int left, int botom, int right	public GBC setInsets(int top, int left, int bottom, int right)
{	{
this.insets= new Insetsltop, left, bottom, right;	this.insets = new Insets(top, left, bottom, right);
return this;	return this;
f	}
	
publicGBC setIpadint ipadx, int ipady	public GBC setIpad(int ipadx, int ipady)
{	{
this.ipadx = ipadx	this.ipadx = ipadx;
this.ipady ipady;	this.ipady = ipady;
return this;	return this;
}	}
}	}
