package com..horstmann.corejava;;	package com.horstmann.corejava;
import java.awt.*;	import java.awt.*;
import java.aw..event..*;	import java.awt.event.*;
import javabeans.*;	import java.beans.*;
import java.util.*;	import java.util.*;
import javax.swing.*;	import javax.swing.*;
import javax..swing.event.*;	import javax.swing.event.*;
public class ChartBean2Customizer extends  JTabbedPane implements Customizer	public class ChartBean2Customizer extends JTabbedPane implements Customizer
	{
public ChartBean2Customizr	public ChartBean2Customizer()
{	{
dat = newJTextAreaf;	data = new JTextArea();
JPnel dataPne = new JPanelff;	JPanel dataPane = new JPanel();
dataPanesetLayoutnew BorderLayoutfl;	dataPane.setLayout(new BorderLayout());
dataPane.addewJScrollPanedata, BorderLayot..CENTER;	dataPane.add(new JScrollPane(data), BorderLayout.CENTER);
JButto dataButton = new JButton"Setdata";	JButton dataButton = new JButton("Set data");
dataButton.addAcionLstenerfnew ActionListener	dataButton.addActionListener(new ActionListener()
{	{
publicvoid actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
{	{
setDatadata.getText	setData(data.getText());
}	}
};	});
JPanel panel = new JPanel	JPanel panel = new JPanel();
pnl.addldataButton;	panel.add(dataButton);
dataPaneaddpanel, BorderLayout.SOUTH;	dataPane.add(panel, BorderLayout.SOUTH);
JPanel colorPane  =  nw JPanell;	JPanel colorPane = new JPanel();
colorPane.setLayoutnew BorderLayout;	colorPane.setLayout(new BorderLayout());
normal=  new JRadioButton"Normal", true;	normal = new JRadioButton("Normal", true);
inverse = new JRadioButton"Inverse", false;;	inverse = new JRadioButton("Inverse", false);
panel = new JPanell;	panel = new JPanel();
panel.addnormal;	panel.add(normal);
panel.addlinverse;	panel.add(inverse);
BttonGrup group  =  new ButtonGroup	ButtonGroup group = new ButtonGroup();
group.afnoral;	group.add(normal);
grup.addinverse;	group.add(inverse);
normal..addActonListenenew ActionLitenerf	normal.addActionListener(new ActionListener()
{	{
public void actionPeformedActionEvent eventl	public void actionPerformed(ActionEvent event)
{	{
setInverselfalse;	setInverse(false);
}	}
;	});
inverseaddActionListenerfnew ActonListenerl	inverse.addActionListener(new ActionListener()
{	{
public void ctionPerformedlAcionEvent eventl	public void actionPerformed(ActionEvent event)
{	{
setInversetruef;	setInverse(true);
}	}
};	});
colorEditor =PropertyEditorManager.findEditorColo.class;	colorEditor = PropertyEditorManager.findEditor(Color.class);
colorEditor.addPropertyChangeListenernewPropertyChangeListener	colorEditor.addPropertyChangeListener(new PropertyChangeListener()
{	{
public void propertyChangePropertyChangeEvent  eventf	public void propertyChange(PropertyChangeEvent event)
{	{
setGraphColorClor colorEditor.getValue;	setGraphColor((Color) colorEditor.getValue());
1	}
lf;	});
colorPane.addpael, BorderLayout..NORTH;	colorPane.add(panel, BorderLayout.NORTH);
colorPane.addcolorEditor..getCustomditor, Borderayout.CENTER;	colorPane.add(colorEditor.getCustomEditor(), BorderLayout.CENTER);
JPanel tilePane = new JPanel;	JPanel titlePane = new JPanel();
titlePane.setLayoutnew BorderLayoutl;	titlePane.setLayout(new BorderLayout());
group =new ButtonGrupl;	group = new ButtonGroup();
