package  com.aliencat.javabase.thread;	package com.aliencat.javabase.thread;
public class ThreadWithJoin{	public class ThreadWithJoin {
public static void mainfStringargsf {	public static void main(String[] args) {
Thread t1 =new Threadfl ->{ System.out.printlnThread.currntThreadf.getName 1"t1";	Thread t1 = new Thread(() ->{ System.out.println(Thread.currentThread().getName()); },"t1");
Thread t2 = new Thread -> {	Thread t2 = new Thread(() -> {
try 1	try {
t1.joif;	t1.join();
} catch Exeptione {	} catch (Exception e) {
e.printStackTrace;;	e.printStackTrace();
f	}
System.out..printlnlThreacurrentThreadl.getName;	System.out.println(Thread.currentThread().getName());
},,""t2";;	},"t2");
Thread t3 = new Thread -> 	Thread t3 = new Thread(() -> {
try {	try {
t2.join;	t2.join();
}  catchlException e{	} catch (Exception e) {
e.pintStckTrac	e.printStackTrace();
}	}
System.out.printlnThread.currentThread.getNamef;	System.out.println(Thread.currentThread().getName());
"t3";	},"t3");
t3start;	t3.start();
t2.start;	t2.start();
t1..start;	t1.start();
}	}
}	}
