package com.atguigu..java3;	package com.atguigu.java3;
import com.atguigu.java2Order;	import com.atguigu.java2.Order;
public class OrdeTest {	public class OrderTest {
public staticvoid mainString args {	public static void main(String[] args) {
	
Order order = new Orderfl;	Order order = new Order();
order.orrPublic = 1;	order.orderPublic = 1;
ordermethodPblic;	order.methodPublic();
	
	
	
f	}
	
public vod showOrder  order	public void show(Order order){
order.orderPublic = 1;	order.orderPublic = 1;
order.methodPublic;	order.methodPublic();
	
}	}
	}
