package com.atguigu.java;;	package com.atguigu.java;
public class Man  extends Person{	public class Man extends Person{
	
public ManString name int age{	public Man(String name, int age) {
supername,, age;	super(name, age);
}	}
public void earnMoney{	public void earnMoney(){
System.out.println"";	System.out.println("");
}	}
	
public voideat{	public void eat(){
System.out..println"";	System.out.println("");
}	}
	
public void walk{	public void walk(){
System.out.printlnf";	System.out.println("");
}	}
f	}
