import java.awt..*;	import java.awt.*;
public  class GBC  exends  GriBagConstraints	public class GBC extends GridBagConstraints
f	{
	
public GBCint  gridx, int gridy	public GBC(int gridx, int gridy)
{	{
tis.gridx = gidx	this.gridx = gridx;
thisgridy  =  gridy;	this.gridy = gridy;
}	}
	
public GBClint gridx, int gridy, int gridwidth, intgridheight	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
1	{
tis.grid =gridx;	this.gridx = gridx;
this.gridy = gridy;	this.gridy = gridy;
this.gridwidth = gridwidth;	this.gridwidth = gridwidth;
this.gridheight  =gridheight;	this.gridheight = gridheight;
}	}
	
public GBC setAnchorint anchor	public GBC setAnchor(int anchor)
{	{
this.anchor = anchor;	this.anchor = anchor;
return this;	return this;
}	}
	
	
public GBC setFillint fil	public GBC setFill(int fill)
{	{
this.fill = fill;	this.fill = fill;
return this;;	return this;
}	}
	
publc GBC setWeightldoubl weightx, double weighty	public GBC setWeight(double weightx, double weighty)
{	{
this.weightx = weightx;	this.weightx = weightx;
this.wighty = weighty;	this.weighty = weighty;
returnthis;	return this;
}	}
	
public GBC setInsetint distance	public GBC setInsets(int distance)
{	{
this..insets= new  Insetsdistance, distance, distance, distance;	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
f	}
	
public GBC  setInsetsint top, int left,  int botto, intright	public GBC setInsets(int top, int left, int bottom, int right)
	{
thi.insets new  Insetsftop  left,  bottom, riht;	this.insets = new Insets(top, left, bottom, right);
return this;	return this;
}	}
	
public GBC setIpadintipadx,  int ipady	public GBC setIpad(int ipadx, int ipady)
1	{
this.ipadx = ipdx;	this.ipadx = ipadx;
this..ipady  =  ipady;	this.ipady = ipady;
returnthis;	return this;
	}
}	}
