package learn..freq01;	package learn.freq01;
public classZigZagConversio {	public class ZigZagConversion {
public String convertfStrng s,intnRows{	public String convert(String s, int nRows) {
int length=  s.length;	int length = s.length();
i length<= nRows || nRows == 1 {	if (length <= nRows || nRows == 1) {
return s;;	return s;
}	}
char chars = new charlength	char[] chars = new char[length];
int step = 2 *  nRows - 2;	int step = 2 * nRows - 2;
int count  0;	int count = 0;
for fint i= 0; i < nRows;i++ 	for (int i = 0; i < nRows; i++) {
int nterval = step -  2 * i; for int  = i; j < length; j = j+ step 	int interval = step - 2 * i; for (int j = i; j < length; j = j + step) {
carscoun= s.charAtj; count++;if interval < step && interval >0 &&  j + interval < length  && count  < lengthf {	chars[count] = s.charAt(j); count++; if (interval < step && interval > 0 && j + interval < length && count < length) {
charscount= s.charAtj + interval;; count++;	chars[count] = s.charAt(j + interval); count++;
}	}
}	}
1	}
returnnew Stringcharsl	return new String(chars);
}	}
}	}
