packaecom.atguigu..java;	package com.atguigu.java;
import  org.junit..Test;	import org.junit.Test;
public class ReviewTest f	public class ReviewTest {
	
	
@Test	@Test
public vod test3fl{	public void test3(){
String s = "abc;	String s = "abc";
  = null;	s = null;
System..out.printlns;System.outprintlnl*********"f;	System.out.println(s);System.out.println("*********");
System..out.printlns.totringlf}	System.out.println(s.toString());}
	
Test	@Test
public void test2{	public void test2(){
Person p =  new Person"Tom", 12;	Person p = new Person("Tom", 12);
Man m = new Man"Tom", 12;	Man m = new Man("Tom", 12);
	
System.out..printlnlp.equalslmf;	System.out.println(p.equals(m));
}	}
	
@Test	@Test
public void  test1{	public void test1(){
intlar  = new it{1,2,};	int[] arr = new int[]{1,2,3};
printfarr;	print(arr);
	
System.out.printlnarr.geClass.etuperclass;	System.out.println(arr.getClass().getSuperclass());
	
	}
	
public void printObject  obj{	public void print(Object obj){
System.outprintlnbj;	System.out.println(obj);
}	}
	
}	}
