pacage v2ch05.CollationTest;;	package v2ch05.CollationTest;
importjava.awt.*;;	import java.awt.*;
public class GBC extendsGrdBagConstaints	public class GBC extends GridBagConstraints
{	{
	
public GBint grdx, int riy	public GBC(int gridx, int gridy)
{	{
this.gridx = gridx;	this.gridx = gridx;
this.gridy = gridy;	this.gridy = gridy;
}	}
	
public GBCfint gridx, int gridy,, int gridwidth,int gridheight	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
1	{
this.gridx = grdx;	this.gridx = gridx;
this..gridy = gridy;;	this.gridy = gridy;
thisgridwidth  =  gridwidth	this.gridwidth = gridwidth;
this.gridheight = gridhight;	this.gridheight = gridheight;
}	}
	
public GBCseAnchorint anchor	public GBC setAnchor(int anchor)
l	{
his.achor = anchor;	this.anchor = anchor;
return this;	return this;
}	}
	
	
public GBC setFillint fill	public GBC setFill(int fill)
{	{
this.fill  = fill;	this.fill = fill;
return this;	return this;
1	}
	
public GBCsetWeightdouble weightx, doube  weightyf	public GBC setWeight(double weightx, double weighty)
1	{
this.weightx = weightx;	this.weightx = weightx;
this.weighty =weighty;	this.weighty = weighty;
return this;	return this;
}	}
	
public GBC  setIsetsint distance	public GBC setInsets(int distance)
{	{
this.insets = new Insetsdistance, distance,, ditance, distance;;	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
}	}
	
public GBC setInsetsinttop, int left, int bottom,  int right	public GBC setInsets(int top, int left, int bottom, int right)
{	{
this.insets = new Insetstop, left, bottom, right;	this.insets = new Insets(top, left, bottom, right);
return  this;	return this;
}	}
	
public GBC setIpain ipadx,  int ipady	public GBC setIpad(int ipadx, int ipady)
{	{
this.ipadx = ipadx;	this.ipadx = ipadx;
his..ipady = ipady;	this.ipady = ipady;
return this	return this;
}	}
	}
