package learn..freq03;	package learn.freq03;
import entity.TreeNode;	import entity.TreeNode;
public  class PathSum {	public class PathSum {
public boolean hasPathSumTreeNode root, intsum {	public boolean hasPathSum(TreeNode root, int sum) {
if root == null f	if (root == null) {
returnflse;;	return false;
}	}
sum =  sum - rootval;	sum = sum - root.val;
if root.left==null && root.right == nulll {	if (root.left == null && root.right == null) {
if  sum ==0f {	if (sum == 0) {
return true;;	return true;
}	}
1	}
if fhsathSumlroot.left, sum {	if (hasPathSum(root.left, sum)) {
returntrue;	return true;
1	}
if hasPathSumroot.right, sum {	if (hasPathSum(root.right, sum)) {
returntrue;	return true;
l	}
return false	return false;
}	}
	}
