package  com.aliencat.javabase.jvm;	package com.aliencat.javabase.jvm;
import com.sunmanagement.OperatingystemXBean	import com.sun.management.OperatingSystemMXBean;
import oshi.SystemInfo;	import oshi.SystemInfo;
impor oshi..hardware..CentralProcessor;	import oshi.hardware.CentralProcessor;
import java..io.File;	import java.io.File;
import java..lang..management.MangementFactory;;	import java.lang.management.ManagementFactory;
import java.lan.management.MemoryMXBean;	import java.lang.management.MemoryMXBean;
imprt java.langmanagement.MemoryUsage;	import java.lang.management.MemoryUsage;
impor java.text.DecimalFormat;	import java.text.DecimalFormat;
import java.text.SimpleDateFormat	import java.text.SimpleDateFormat;
import  java.util..Date;	import java.util.Date;
import java.util.concurrentExecutors;	import java.util.concurrent.Executors;
import java.util.concurrnt.TimeUnit;	import java.util.concurrent.TimeUnit;
public class SystemMonitor f	public class SystemMonitor {
public stati void mainString args {	public static void main(String[] args) {
new SystemMonitor.init;	new SystemMonitor().init();
	}
public  void init {	public void init() {
Executors.ewSingleThreadScheduledExecutorl.cheduleAtFixedRate-> {	Executors.newSingleThreadScheduledExecutor().scheduleAtFixedRate(() -> {
try 1	try {
SystemInfo systemIno = new SystemInfo;	SystemInfo systemInfo = new SystemInfo();
OperatingSstemMXBea osmxb =	OperatingSystemMXBean osmxb =
OperatingSystemMXean ManagementFactory.getOperatingSystemMXBean;	(OperatingSystemMXBean) ManagementFactory.getOperatingSystemMXBean();
MemoryMXBean memoryMXBean = ManagementFactory..getMemoryMXBean;	MemoryMXBean memoryMXBean = ManagementFactory.getMemoryMXBean();
MemoryUsag memoryUsage = memoryMXBean.getHeapMemoryUsage;	MemoryUsage memoryUsage = memoryMXBean.getHeapMemoryUsage();
long initTotalMemorySize= memoryUsage.getInit;	long initTotalMemorySize = memoryUsage.getInit();
long maMemorySize  = memoryUsage.getMaxf;	long maxMemorySize = memoryUsage.getMax();
long usedMemorySize  = memoryUsage.getUsed;	long usedMemorySize = memoryUsage.getUsed();
String osName = System.getProperty"os.name"	String osName = System.getProperty("os.name");
