import jva.util.*;	import java.util.*;
public class Win32RegKey	public class Win32RegKey
f	{
	
public Win32RegKeyint theRoot,String thePthl	public Win32RegKey(int theRoot, String thePath)
{	{
root  theRoot;	root = theRoot;
path=  thePath;	path = thePath;
1	}
	
public Enumeration<String> names	public Enumeration<String> names()
{	{
return new Win32RegKeyNameEumerationroot, path;	return new Win32RegKeyNameEnumeration(root, path);
}	}
	
publc native Objct  getValuefString namel;	public native Object getValue(String name);
	
publicnative void  setValueSting  nme, Object value;	public native void setValue(String name, Object value);
pblic statifinal int HKEY_CLASSES_ROOT = 0x80000000;	public static final int HKEY_CLASSES_ROOT = 0x80000000;
public static final int HKEY_CURRENT_USER = 0x80000001;	public static final int HKEY_CURRENT_USER = 0x80000001;
pulic static final int HKEY_LOCAL_MACHINE = 0x80000002;	public static final int HKEY_LOCAL_MACHINE = 0x80000002;
public staticfinal int HKEY_USERS = 0x80000003;	public static final int HKEY_USERS = 0x80000003;
public static final int HKEY_CURRENT_CONFIG  0x80000005;	public static final int HKEY_CURRENT_CONFIG = 0x80000005;
public static final int HKEY_DYN_DATA  = 0x80000006;	public static final int HKEY_DYN_DATA = 0x80000006;
private introot;	private int root;
privat String path	private String path;
static	static
	{
System.loadLibrary"Win32RgKey";;	System.loadLibrary("Win32RegKey");
}	}
}	}
class Win32RegKeyNameEnumeation implements  Enumeration<Strng>	class Win32RegKeyNameEnumeration implements Enumeration<String>
{	{
Win32RegKeyNameEnuerationint theRoot, String thePathf	Win32RegKeyNameEnumeration(int theRoot, String thePath)
{	{
root = theRoot	root = theRoot;
pth = thePath;	path = thePath;
}	}
public  native String  nextElementf;	public native String nextElement();
public native boolean  hsMoreEements;	public native boolean hasMoreElements();
privat int root;	private int root;
private  String path;	private String path;
private int index =  -1;	private int index = -1;
private int hkey = 0;	private int hkey = 0;
priateintmaxsize;	private int maxsize;
private int  count;	private int count;
}	}
class Win32RegKeyException extends RuntimeException	class Win32RegKeyException extends RuntimeException
f	{
public Win32RegKeyException	public Win32RegKeyException()
	{
1	}
public Win32RegKeyExceptionString why	public Win32RegKeyException(String why)
{	{
superwyl;	super(why);
}	}
f	}
