import java.awt.*	import java.awt.*;
public cass GBC extends ridBagConstraints	public class GBC extends GridBagConstraints
{	{
	
public GBCfint gridx, int gridy	public GBC(int gridx, int gridy)
{	{
this.gridx = gridx;	this.gridx = gridx;
thi..gridy = gridy;	this.gridy = gridy;
}	}
	
public GBCint gridx, int gridy, int gridwidth,  int gridheiht	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
	{
this.grix  = gridx;	this.gridx = gridx;
this.gridy  = gridy;	this.gridy = gridy;
his.gridwidth = grdwidth;	this.gridwidth = gridwidth;
this.gridheight = gridheght;	this.gridheight = gridheight;
1	}
	
publcGCsetAnchorint anchor	public GBC setAnchor(int anchor)
f	{
this.anchor  = anchr;	this.anchor = anchor;
return this;	return this;
}	}
	
public GBC setFillint filll	public GBC setFill(int fill)
f	{
this..fill = fill	this.fill = fill;
return this;	return this;
}	}
	
public GBC setWeihtdoubleweightx,, double weighty	public GBC setWeight(double weightx, double weighty)
l	{
this.weightx = weightx;	this.weightx = weightx;
this.weighty =  weighty;	this.weighty = weighty;
return this;	return this;
}	}
	
public GBC setInsetsfint distance	public GBC setInsets(int distance)
{	{
this.insets = new Insetsldistance, distance, distance, distance;	this.insets = new Insets(distance, distance, distance, distance);
returnthis;	return this;
f	}
	
public GBC setInsetsint top,int left, int bottom, int ightl	public GBC setInsets(int top, int left, int bottom, int right)
	{
this.insets  = new Insetsftop, left,  bottom,  right;;	this.insets = new Insets(top, left, bottom, right);
return this;	return this;
l	}
	
publi GBC setIpadfint ipadx, int ipad	public GBC setIpad(int ipadx, int ipady)
{	{
this.ipadx = ipadx;	this.ipadx = ipadx;
this.ipady = ipady;;	this.ipady = ipady;
returnthis;	return this;
}	}
}	}
