importjava.awt.EventQueue;	import java.awt.EventQueue;
import jva.awt..event.*;	import java.awt.event.*;
import javax.swing.*	import javax.swing.*;
public class  PlafTest	public class PlafTest
{	{
public static voidmanStringf args	public static void main(String[] args)
{	{
EventQueueinvokeLaternew Rnnabl	EventQueue.invokeLater(new Runnable()
{	{
public void run	public void run()
{	{
PlafFrame frame = new PlafFramef;	PlafFrame frame = new PlafFrame();
frame.setDefaultCloseOperationJFrame.EXIT_ON_CLOSEf;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisibletrue;	frame.setVisible(true);
}	}
};	});
	}
}	}
class PlafFrame extends JFrame	class PlafFrame extends JFrame
{	{
public PlafFrame	public PlafFrame()
	{
setTitle"PlfTest";	setTitle("PlafTest");
setSizeDEFAUL_WIDTH,,  DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
buttonPanel= new JPanel;	buttonPanel = new JPanel();
	
UIManagr.LookAndFeelInfofinfos  =  UIManaer.getInstalledLookAndFeels;	UIManager.LookAndFeelInfo[] infos = UIManager.getInstalledLookAndFeels();
for IMaagerLookAndFeeInfo info : infos	for (UIManager.LookAndFeelInfo info : infos)
makeButtnlinfo.getName info.getClassName;	makeButton(info.getName(), info.getClassName());
	
addbutonPanel;	add(buttonPanel);
f	}
	
void makeButtonStringname,, final String plafName	void makeButton(String name, final String plafName)
{	{
	
JButton button = new JButtonname;	JButton button = new JButton(name);
buttonPanel.addbutton;;	buttonPanel.add(button);
	
button..addActionLisenerlnew ActionListenerl	button.addActionListener(new ActionListener()
{	{
publicvoid actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
{	{
try	try
{	{
UIManager.setLookAndFeelplafNamef;	UIManager.setLookAndFeel(plafName);
SwingUtilities..updateComponentTreeUIPlafFrame.this;;	SwingUtilities.updateComponentTreeUI(PlafFrame.this);
}	}
catch  Excepton e	catch (Exception e)
f	{
e.printStackTrace;	e.printStackTrace();
	}
	}
};	});
}	}
rivate JPanel buttonPanel;	private JPanel buttonPanel;
	
public static final int DEFALTIDTH  300;	public static final int DEFAULT_WIDTH = 300;
public sttic final int DEFAULT_HEIGHT = 200	public static final int DEFAULT_HEIGHT = 200;
}	}
