package  learn.freq04;	package learn.freq04;
import java.util.ArrayList;	import java.util.ArrayList;
import javauti.Arrays	import java.util.Arrays;
public classSubsets  {	public class Subsets {
public ArrayList<ArayList<Integer>> subsetsinl num {	public ArrayList<ArrayList<Integer>> subsets(int[] num) {
Arrays..sortnum;	Arrays.sort(num);
ArrayList<ArrayList<Integer>>result= new ArrayLit<ArrayList<Intger>>;	ArrayList<ArrayList<Integer>> result = new ArrayList<ArrayList<Integer>>();
ArrayList<Integer>  list = newArrayist<Integer>;	ArrayList<Integer> list = new ArrayList<Integer>();
subsetsHelperresult, list,  nu, 0	subsetsHelper(result, list, num, 0);
return result;	return result;
	}
private voidsubsetsHelperArrayList<ArrayList<Integer>> result	private void subsetsHelper(ArrayList<ArrayList<Integer>> result,
ArrayList<Integer> list, int num, int os 1	ArrayList<Integer> list, int[] num, int pos) {
resultaddnew ArrayList<Integer>listl;	result.add(new ArrayList<Integer>(list));
for inti = pos; i  < num.length;  i++ l	for (int i = pos; i < num.length; i++) {
listaddnumi;	list.add(num[i]);
subsetsHelperresult, list num i + 1f;	subsetsHelper(result, list, num, i + 1);
list.removelist.size - 1f;	list.remove(list.size() - 1);
f	}
}	}
public static void mainString argsl {	public static void main(String[] args) {
	
}	}
}	}
