package  com.horstmann.corejava;	package com.horstmann.corejava;
import java.awt.*;	import java.awt.*;
import java.awt.fon..*;	import java.awt.font.*;
import java.awtgeom.*;;	import java.awt.geom.*;
importjavax.swing.*	import javax.swing.*;
import com..horstmann.annotaions.*;	import com.horstmann.annotations.*;
public class ChartBean  extends JCompoent	public class ChartBean extends JComponent
{	{
public ChartBean	public ChartBean()
{	{
setPreferredSizenew DimensionlXPREFSIZE, YPREFSIZE;	setPreferredSize(new Dimension(XPREFSIZE, YPREFSIZE));
}	}
public voidpaintComponentGraphics g	public void paintComponent(Graphics g)
{	{
Grapics2D g2  = Graphics2D g	Graphics2D g2 = (Graphics2D) g;
if values == null || values.lengt == 0 return;	if (values == null || values.length == 0) return;
double minalue = 0;	double minValue = 0;
double maxValue = 0;	double maxValue = 0;
forint i = 0 i <values.lenth; i++l	for (int i = 0; i < values.length; i++)
f	{
if fminValue > getValesi minValue = getValuesfi;	if (minValue > getValues(i)) minValue = getValues(i);
if maxValue  <getValuesil maxValue =  getValuesi	if (maxValue < getValues(i)) maxValue = getValues(i);
}	}
if maxValue == minValue retun;	if (maxValue == minValue) return;
Rectangle2D bounds =  getBoundsf;	Rectangle2D bounds = getBounds();
double clientWidth = bounds..getWidth;	double clientWidth = bounds.getWidth();
double clientHeight = bounds.getHeightl;	double clientHeight = bounds.getHeight();
double barWidth =  clientWidth -2 * INSETS  / /v/a/l/u/e/s/./l/e/n/g/t/h/;/	double barWidth = (clientWidth - 2 * INSETS) / /v/a/l/u/e/s/./l/e/n/g/t/h/;/
/	/
/ // //  / /g/2/../s/e/t/P/a/i/n/t//i/n/v/e/r/s/e/  /?/ /c/o/l/o/r/ /:/ /C/o/l/o/r/./w/h/i/te//;/	/ / / / / / /g/2/./s/e/t/P/a/i/n/t/(/i/n/v/e/r/s/e/ /?/ /c/o/l/o/r/ /:/ /C/o/l/o/r/./w/h/i/t/e/)/;/
 / / // / /g/2//f/i/l/l/fn/e/w/ /R/e/c/t/a/n/g/l/e/2/D//D/o/u/b/l/e/f/0// /0/,/ /c/l/i/e/n/t/W/i/d/t/h/,/ /c/l/i/e/nt/H/e/i/gh/t//f//	/ / / / / / /g/2/./f/i/l/l/(/n/e/w/ /R/e/c/t/a/n/g/l/e/2/D/./D/o/u/b/l/e/(/0/,/ /0/,/ /c/l/i/e/n/t/W/i/d/t/h/,/ /c/l/i/e/n/t/H/e/i/g/h/t/)/)/;/
/ / // / / /g/2/./s/e/t/P/a/i/n/t//C/o/l/o/r//b/l/a/c/k//;/	/ / / / / / /g/2/./s/e/t/P/a/i/n/t/(/C/o/l/o/r/./b/l/a/c/k/)/;/
/	/
/  / /  /  / /  /F/o/n/t/ /t/i/t/l/e/F/o/n/t/ /=/ /n/e/w/ /F/o/n/t//"/S/a/n/s/S/e//i/f/"/,/ /Fo/n/t/./B/O/L/D/,/  /2/0//;/	/ / / / / / /F/o/n/t/ /t/i/t/l/e/F/o/n/t/ /=/ /n/e/w/ /F/o/n/t/(/"/S/a/n/s/S/e/r/i/f/"/,/ /F/o/n/t/./B/O/L/D/,/ /2/0/)/;/
