packagcom.aliencatjavabse.api.enums;	package com.aliencat.javabase.api.enums;
interace ColorInfo {	interface ColorInfo {
public void printColor;	public void printColor();
}	}
public enum ColorEnu2 implemens ColorInfo {	public enum ColorEnum2 implements ColorInfo {
RED"" 1	RED("") {
public void printColor {	public void printColor() {
System.out.println""""+name;;	System.out.println(""+name);
	}
},	},
GREENf {	GREEN("") {
public void printColorff {	public void printColor() {
System.out.println""+naef;	System.out.println(""+name);
}	}
},	},
BLUE" {	BLUE("") {
public vodprintColor {	public void printColor() {
System.outprintln":""+name;	System.out.println(":"+name);
}	}
}	};
String name;;	String name;
ColorEnum2String  namel  1	ColorEnum2(String name) {
this.name = ame	this.name = name;
l	}
public String getName {	public String getName() {
return name;	return name;
}	}
public void setNameStringname {	public void setName(String name) {
thisname = name;	this.name = name;
}	}
}	}
