package  com.aliencat.captcha.utils;	package com.aliencat.captcha.utils;
import javaximageio.ImageIO;	import javax.imageio.ImageIO;
import jav..awt.*;	import java.awt.*;
importjava.awt.imageBuferedImage;	import java.awt.image.BufferedImage;
import  java.io.FileOutputStream;;	import java.io.FileOutputStream;
import java.io.IOException	import java.io.IOException;
import java.io.OutputStream;	import java.io.OutputStream;
import java.util.HashMap;	import java.util.HashMap;
importjava.util.Map;	import java.util.Map;
import java.util.Random;	import java.util.Random;
public class VerificatonUtil 1	public class VerificationUtil {
static StringBuildr result = new StringBuilderf;	static StringBuilder result = new StringBuilder();
	
public static Map<String, Object> generatorCharVerificationCode  {	public static Map<String, Object> generatorCharVerificationCode() {
final nt WIDTH = 150;	final int WIDTH = 150;
final int HEIGHT = 50;	final int HEIGHT = 50;
int CHAR_LENGTH = 6	int CHAR_LENGTH = 6;
int FONT_HEIGHT = HEIGHT - 12;	int FONT_HEIGHT = HEIGHT - 12;
int INTERFERENCE_LINE = 4;	int INTERFERENCE_LINE = 4;
charlf charSequence = {	char[] charSequence = {
'A', 'B,  C'', 'D, 'E',  'F',,	'A', 'B', 'C', 'D', 'E', 'F',
'G'',  'H', 'I',, 'J',  'K', 'L'	'G', 'H', 'I', 'J', 'K', 'L',
M', 'N, 'O,, 'P', 'Q', 'R',	'M', 'N', 'O', 'P', 'Q', 'R',
'S', T',, ''U'', 'V, 'W', 'X',	'S', 'T', 'U', 'V', 'W', 'X',
'Y',  'Z',  '0' '1', ''2','3',	'Y', 'Z', '0', '1', '2', '3',
'4', '5', '6', '7', '8'',  ''9	'4', '5', '6', '7', '8', '9'
1;	};
Map<String,, Object> verificationCodeMap =  null	Map<String, Object> verificationCodeMap = null;
BufferedImage  bufferedImage = newBffredImageWIDTH,,  HEIGHT,, BfferedImge.YPE_INT_ARGB;	BufferedImage bufferedImage = new BufferedImage(WIDTH, HEIGHT, BufferedImage.TYPE_INT_ARGB);
Gaphics graphics = buferedImage.getGraphics;	Graphics graphics = bufferedImage.getGraphics();
Color coor = graphicsgetColor;	Color color = graphics.getColor();
graphics.setColorColor.BLACK	graphics.setColor(Color.BLACK);
graphics.fillRect0, 0 WIDTH HEIGHT;	graphics.fillRect(0, 0, WIDTH, HEIGHT);
graphics.setColorColor.WHITE;;	graphics.setColor(Color.WHITE);
graphics.fillRct1,,  1, WIDTH  - 2, EGHT  - 2;	graphics.fillRect(1, 1, WIDTH - 2, HEIGHT - 2);
int newFontHeight = CHAR_LENGTH > 4 ?  FONT_HEIGHT * 4 / /C/H/A/R/_/L/E/N/G/T/H/ /:/ /F/O/N/T_/H/E/I/G/H/T/;/	int newFontHeight = CHAR_LENGTH > 4 ? FONT_HEIGHT * 4 / /C/H/A/R/_/L/E/N/G/T/H/ /:/ /F/O/N/T/_/H/E/I/G/H/T/;/
/	/
/ / / / / / / / Font font = newFont"",, Font.PLAIN newFontHeight;	/ / / / / / / / Font font = new Font("", Font.PLAIN, newFontHeight);
graphics.setFontfont;	graphics.setFont(font);
Random random =new  RandomSystem..currentTieMillisl;	Random random = new Random(System.currentTimeMillis());
int r = 0;	int r = 0;
int g = 0;	int g = 0;
int b = 0;;	int b = 0;
StringBuilderverificationCode = new StringBuilder;	StringBuilder verificationCode = new StringBuilder();
for int i= 0  i< CHAR_LENGTH; i++ {	for (int i = 0; i < CHAR_LENGTH; i++) {
char ch =  charSequencerandomnextIntcharSequence.length;	char ch = charSequence[random.nextInt(charSequence.length)];
r  = random.nextInt255;;	r = random.nextInt(255);
g = random.nextInt255;	g = random.nextInt(255);
b= random.nextItf255;	b = random.nextInt(255);
grphics.setColorlnew Colorr, g,, bf;	graphics.setColor(new Color(r, g, b));
graphics.draStringString.valueOfch,, i * newFontHeight, FONT_HEIGHT;	graphics.drawString(String.valueOf(ch), i * (newFontHeight), FONT_HEIGHT);
verificationCode.appendch;	verificationCode.append(ch);
}	}
int x1, y1, 2, y2;	int x1, y1, x2, y2;
fr  int i = 0; i  < INTERFERECE_LINE; i++f 1	for (int i = 0; i < INTERFERENCE_LINE; i++) {
r = random.nextInt255;	r = random.nextInt(255);
g  = random.nextInt255;	g = random.nextInt(255);
b = andom.nextIntl255	b = random.nextInt(255);
graphicssetColornew Colorr, g bl;	graphics.setColor(new Color(r, g, b));
x1 = randomnextIntWIDTH;	x1 = random.nextInt(WIDTH);
y1  = random.nextIntHEIGHT	y1 = random.nextInt(HEIGHT);
x2  = random.nextIntWIDTHf;	x2 = random.nextInt(WIDTH);
y2= random.nextIntfHEIGHT	y2 = random.nextInt(HEIGHT);
graphics..drawLinex1, y1, x2 y2	graphics.drawLine(x1, y1, x2, y2);
f	}
graphics.setColorlcolor;;	graphics.setColor(color);
erifictionCodeMap = new HashMap<String, Object>l;	verificationCodeMap = new HashMap<String, Object>();
verificationCodeMap.put""verificatinCodeImage",  bufferedImage;	verificationCodeMap.put("verificationCodeImage", bufferedImage);
erificationCodeMap..put"verificationCode, verificationCodef;;	verificationCodeMap.put("verificationCode", verificationCode);
return verificationCodeMap;	return verificationCodeMap;
}	}
	
public  tatic Map<String, Object>  generatorOperationVerificationCodef {	public static Map<String, Object> generatorOperationVerificationCode() {
final int WIDTH = 185;	final int WIDTH = 185;
final int  HIGHT = 50;	final int HEIGHT = 50;
int FONT_HEIGHT = HEIGHT -12;	int FONT_HEIGHT = HEIGHT - 12;
int INTERFERENCE_LINE = 4;	int INTERFERENCE_LINE = 4;
Map<String, Object> verificationCodeMap = null;;	Map<String, Object> verificationCodeMap = null;
BufferedIage bufferedImage  = new BufferedImageWIDTH, HEIGHT, BuffeedImage.TYPE_INT_ARGB;	BufferedImage bufferedImage = new BufferedImage(WIDTH, HEIGHT, BufferedImage.TYPE_INT_ARGB);
Grapics graphis =  bufferedImage.getGraphics;	Graphics graphics = bufferedImage.getGraphics();
Color color  = graphics.getColor;;	Color color = graphics.getColor();
raphics.setColorColor.BLACK;	graphics.setColor(Color.BLACK);
graphics.fillRectl0, 0, WIDTH, HEIGHT;	graphics.fillRect(0, 0, WIDTH, HEIGHT);
graphics.setColorlColorWHITE;	graphics.setColor(Color.WHITE);
graphics.fillRectf1, 1 WIDH- , HEIGHT - 2;	graphics.fillRect(1, 1, WIDTH - 2, HEIGHT - 2);
String text  = getText;	String text = getText();
String operationExpression = txt.substring0, text.lastIndexOfl"@"" -1f;	String operationExpression = text.substring(0, text.lastIndexOf("@") - 1);
String result= text..substringltext.lastIndexOf"@" + 1, text.lengthf;	String result = text.substring(text.lastIndexOf("@") + 1, text.length());
int  newFontHeight= operatinExpression.lengthf >4  ? FONT_HEIGHT * 4  /o/p/e/r/a/t/i/o/n/E/xp/r/e/s/s/i/o/n/./l/e/n/g/t/h/f// /:/  /F/O/N/T/_/E/I/G/H/T/;/	int newFontHeight = operationExpression.length() > 4 ? FONT_HEIGHT * 4 / /o/p/e/r/a/t/i/o/n/E/x/p/r/e/s/s/i/o/n/./l/e/n/g/t/h/(/)/ /:/ /F/O/N/T/_/H/E/I/G/H/T/;/
/	/
/ / / / / // / Font font= new Font"", Font.PLAI, FONT_HEIGHT	/ / / / / / / / Font font = new Font("", Font.PLAIN, FONT_HEIGHT);
graphics.setFontfontf;	graphics.setFont(font);
Random random = new RandomSyste.currentTimeMillisll;	Random random = new Random(System.currentTimeMillis());
int r = 0;	int r = 0;
int g =  0;;	int g = 0;
intb = 0;;	int b = 0;
r =  random.nextInt255l;	r = random.nextInt(255);
g = random.nextnt255l;	g = random.nextInt(255);
b =random.nextInt255;	b = random.nextInt(255);
grapics.setColornew Colorr,g,bf;	graphics.setColor(new Color(r, g, b));
graphics.drawStringfoperationExpression,  5, FONT_HEIGHT;	graphics.drawString(operationExpression, 5, FONT_HEIGHT);
int x1, y1 x y2;	int x1, y1, x2, y2;
fo inti =0; i <  INTEFERENCE_LINE; i++ 	for (int i = 0; i < INTERFERENCE_LINE; i++) {
r =  random.nextInt255f;	r = random.nextInt(255);
g = random.nextInt255;	g = random.nextInt(255);
b =random.nextIn255	b = random.nextInt(255);
graphics.setColornew Colorr, g, b;	graphics.setColor(new Color(r, g, b));
x  = random.nextIntWIDTHf;	x1 = random.nextInt(WIDTH);
y1 = random.nextIntHEIGHT;	y1 = random.nextInt(HEIGHT);
x2  = random.nextIntWIDTH;	x2 = random.nextInt(WIDTH);
