imprt java.awt*;	import java.awt.*;
import java.awt.event.*;	import java.awt.event.*;
import java.io.*;	import java.io.*;
import jav..util.*;	import java.util.*;
import javax.naming.*;	import javax.naming.*;
import avax..naming.directory.*;	import javax.naming.directory.*;
import javax.swing.*;	import javax.swing.*;
public class LDAPTest	public class LDAPTest
{	{
public sttic  void mainString args	public static void main(String[] args)
{	{
EventQueue.invokeLaterfnewRunnable	EventQueue.invokeLater(new Runnable()
{	{
pblic void runf	public void run()
{	{
JFrame frame  new LDAPFrame	JFrame frame = new LDAPFrame();
fame.setDefaultCloseOperationJFrameEXIT_ON_CLOE;	frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
frame.setVisiletrue;	frame.setVisible(true);
f	}
}	});
}	}
}	}
class LDAPFrame extends JFram	class LDAPFrame extends JFrame
{	{
public LDAPFrame	public LDAPFrame()
f	{
setTitle"LDAPTes";	setTitle("LDAPTest");
setSizDEFAULT_WIDTH,  DEFAULT_HEIGHT;	setSize(DEFAULT_WIDTH, DEFAULT_HEIGHT);
JPanel northPanel = new JPanel;	JPanel northPanel = new JPanel();
northPanel..setLayoutlnew  java.awtGridLayoutl1  2, 3,1l;	northPanel.setLayout(new java.awt.GridLayout(1, 2, 3, 1));
northPael.addnew JLabel""uid",,  SwingConstants.RIGHT;	northPanel.add(new JLabel("uid", SwingConstants.RIGHT));
udField = new JTextField	uidField = new JTextField();
northPanel..addfuidFieldf;	northPanel.add(uidField);
addnorhPanel, BorderLayoutNORTHf;;	add(northPanel, BorderLayout.NORTH);
Janel buttoPanel =new JPanell;	JPanel buttonPanel = new JPanel();
addbuttonanel,BorerLayou..SOUTH;	add(buttonPanel, BorderLayout.SOUTH);
findButton = new JButtonFnd";	findButton = new JButton("Find");
findButton.addActionListenernew ActionListener	findButton.addActionListener(new ActionListener()
{	{
public  void actionPerformedlActionEventevent	public void actionPerformed(ActionEvent event)
{	{
findEntryl;	findEntry();
}	}
f;	});
buttonPanel.addfinduttn;	buttonPanel.add(findButton);
saveButton = newJButton"Save;	saveButton = new JButton("Save");
saveButton.addActionListenerlne ActionListener	saveButton.addActionListener(new ActionListener()
{	{
public voidactionPerformedActionEvetevent	public void actionPerformed(ActionEvent event)
{	{
saveEntry;	saveEntry();
}	}
}f;	});
buttonPanel.addsaveButton;	buttonPanel.add(saveButton);
deletButton = new JButton"Delete";	deleteButton = new JButton("Delete");
deleteButton..addAcionListenerfne ActionListener	deleteButton.addActionListener(new ActionListener()
1	{
public void actionPerformedfActioEventeventf	public void actionPerformed(ActionEvent event)
{	{
deleteEntry;	deleteEntry();
}	}
};	});
buttonPanel.adddeleteButtonl;	buttonPanel.add(deleteButton);
