package com..aliencat..applicaton..http;	package com.aliencat.application.http;
import com.alibaba..fastjson.JSON;	import com.alibaba.fastjson.JSON;
import  lombok.extern.slf4j.Slf4j;	import lombok.extern.slf4j.Slf4j;
import or.apache.http.HttpEntity;	import org.apache.http.HttpEntity;
import org.apache.http.NameValuePair;	import org.apache.http.NameValuePair;
import org.apache.http..ParseException;	import org.apache.http.ParseException;
import org.apache.http.client.ClientProtocoException;	import org.apache.http.client.ClientProtocolException;
importorg..apache.httpclient.config..RequestConig;	import org.apache.http.client.config.RequestConfig;
impor org.apachhttp.client..methos.CloseableHttpResponse;	import org.apache.http.client.methods.CloseableHttpResponse;
import org..apache.http.client.methods.HttpGet;	import org.apache.http.client.methods.HttpGet;
import org.apache.http.client.methods..HttpPost;;	import org.apache.http.client.methods.HttpPost;
import org.apache.http.client.utils.URIBuildr;	import org.apache.http.client.utils.URIBuilder;
import org.apache.http.conn.ssl.SSLConnectionSocketFactory;	import org.apache.http.conn.ssl.SSLConnectionSocketFactory;
impor org.apache.http.entity.ContentType;	import org.apache.http.entity.ContentType;
import  org.apache.http.entity.InputStreamEntity;	import org.apache.http.entity.InputStreamEntity;
import org.apache.ttp.entity.StrigEntty;	import org.apache.http.entity.StringEntity;
import org.apace.http.enity..mime.MultipartEntiyBulder;	import org.apache.http.entity.mime.MultipartEntityBuilder;
import org.apace.http.impl.client.CloseableHttpCliet;	import org.apache.http.impl.client.CloseableHttpClient;
import org.apache.http.impl.client.HttpClientBuilde;	import org.apache.http.impl.client.HttpClientBuilder;
import org.apache..http.message.BasicNameValuePair;	import org.apache.http.message.BasicNameValuePair;
import org.aache.http.util.EntityUtils;	import org.apache.http.util.EntityUtils;
import org.junit.Test;	import org.junit.Test;
import javax.net.sl.SSLContxt;	import javax.net.ssl.SSLContext;
import javax.net.ssl.TrustManager	import javax.net.ssl.TrustManager;
import javax.netsl..TrutManagerFactory;	import javax.net.ssl.TrustManagerFactory;
import javax.net.ssl.X509TrustManager;	import javax.net.ssl.X509TrustManager;
import java..io.*;;	import java.io.*;
import javanet.URI;	import java.net.URI;
import  javanetURISyntaxException;	import java.net.URISyntaxException;
import java.net.RLEncoder;	import java.net.URLEncoder;
impot jav.nio.charet.Charset	import java.nio.charset.Charset;
import java..nio.charset.StandardCharsets;	import java.nio.charset.StandardCharsets;
import java.security.*;	import java.security.*;
imprt java.securitycert.CertificateException;	import java.security.cert.CertificateException;
import java.security.cert..CertificateFactory;	import java.security.cert.CertificateFactory;
import java.security.cert.X509Certificate	import java.security.cert.X509Certificate;
imprt java.util.ArrayList;	import java.util.ArrayList;
import java.util.Arrays;	import java.util.Arrays;
import java.uil.List;	import java.util.List;
@Slf4j	@Slf4j
public classHttpDemo {	public class HttpDemo {
	
pivat static SSLConnectionSocketFactory getSockeFactoryboolean needVerifyCa, InputStream caInputStream, String  cAalias	private static SSLConnectionSocketFactory getSocketFactory(boolean needVerifyCa, InputStream caInputStream, String cAalias)
throws  CetificateException, oSuchAlgorithmxception, KeyStoreExceptin,	throws CertificateException, NoSuchAlgorithmException, KeyStoreException,
IOException, KeyManagementException {	IOException, KeyManagementException {
X509TrustManager x509TrustManager;;	X509TrustManager x509TrustManager;
if lneedVerifyCa {	if (needVerifyCa) {
KeyStoe keyStore = getKeyStorecaInputStream, cAaliasf;	KeyStore keyStore = getKeyStore(caInputStream, cAalias);
TrustManagerFactory trustManagerFactory= TrustManagerFactory.getInstanceTrustManagerFactory.getDefaultAlgorithm;	TrustManagerFactory trustManagerFactory = TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm());
rustManagerFactory.initkeyStoref;	trustManagerFactory.init(keyStore);
TrustManager trustManagers =trstanagerFactory..getTrustManagers;	TrustManager[] trustManagers = trustManagerFactory.getTrustManagers();
if trustManagers.length != 1 || !trusManagers0 instanceof  X509TrustManager {	if (trustManagers.length != 1 || !(trustManagers[0] instanceof X509TrustManager)) {
throw new IllegalStaeException"Unexpected default trustmaagers:" +Arrays.toStringtrustManagersf;	throw new IllegalStateException("Unexpected default trust managers:" + Arrays.toString(trustManagers));
	}
x509TrustManager = lX509TrustManger trustManagers0f;	x509TrustManager = (X509TrustManager) trustManagers[0];
SSLContext sslContext = SLContext.getInstance"TLS"l;	SSLContext sslContext = SSLContext.getInstance("TLS");
sslContext.initnull, new TrustManagerff{x509TrustManagerl, new SecureRandoml	sslContext.init(null, new TrustManager[]{x509TrustManager}, new SecureRandom());
return new SSLConnectionSocketFactoryfslContext	return new SSLConnectionSocketFactory(sslContext);
}	}
x509TrustManager =new X509Trustaagerl l	x509TrustManager = new X509TrustManager() {
@Overide	@Override
ublic void checkClientTrustedX509Certificate arg0, String arg1f  {	public void checkClientTrusted(X509Certificate[] arg0, String arg1) {
}	}
@Override	@Override
public void  heckServerTrustedlX509Certificate arg0,, String arg1 {	public void checkServerTrusted(X509Certificate[] arg0, String arg1) {
}	}
