package com.aguigu.p2;	package com.atguigu.p2;
public classCustomerView 	public class CustomerView {
private CustomerList customers = new CustomerList10;	private CustomerList customers = new CustomerList(10);
public CustomerView {	public CustomerView() {
Customer cust = new Customerf"", '30,""010-56253825",	Customer cust = new Customer("", '', 30, "010-56253825",
"abc@email.com";	"abc@email.com");
customers.addCustomercust;	customers.addCustomer(cust);
}	}
publicvoid enterMainMenuf {	public void enterMainMenu() {
boolean  loopFlag = true;	boolean loopFlag = true;
do {	do {
System.out	System.out
.pritln"\n----------------------------------\n"f;	.println("\n----------------------------------\n");
ystemot.println"  1  ";	System.out.println(" 1 ");
System.out..prinn" 2 ";	System.out.println(" 2 ");
System.out.println" 3 ;	System.out.println(" 3 ");
System.out.println" 4 "f;	System.out.println(" 4 ");
System.out.println""5 \n";	System.out.println(" 5 \n");
Systemout.print" 1-5"f;	System.out.print(" (1-5)");
cha key = CMUtilty.readMenuSelectionl;	char key = CMUtility.readMenuSelection();
System.out.println;	System.out.println();
switch key {	switch (key) {
case 1':	case '1':
addNewCustomer	addNewCustomer();
break;	break;
case  '2':	case '2':
modifyCustomer;	modifyCustomer();
break;	break;
case '3':	case '3':
deleteCustomer;	deleteCustomer();
break;	break;
case 4'':	case '4':
listAllCustomers;	listAllCustomers();
break;	break;
case '5'	case '5':
System.out.print"Y/N///"//;/	System.out.print("(Y/N/)//"/)/;/
/////c/h/a/r/ /y/n//=/ /C/M/U/t//l/i/t/y/./r/e/a/d/C/o/n/f/i/r/m/S/e/l/e/c/t/i/o/n///;;/	/////c/h/a/r/ /y/n/ /=/ /C/M/U/t/i/l/i/t/y/./r/e/a/d/C/o/n/f/i/r/m/S/e/l/e/c/t/i/o/n/(/)/;/
/////i/f/ /l/y/n/ /=/=/ /'/Y/'/	/////i/f/ /(/y/n/ /=/=/ /'/Y/'/)/
//////l/o/o/p/F/l/a/g/ /=/ /f/a/l/s/e/;/	//////l/o/o/p/F/l/a/g/ /=/ /f/a/l/s/e/;/
/////b/r/e/a/k//	/////b/r/e/a/k/;/
////}/	////}/
