pckagecom.aliencat.javabase.spider;	package com.aliencat.javabase.spider;
import  org.jsoupselect.Elements;;	import org.jsoup.select.Elements;
import us.codecraftwebmagic.Page;	import us.codecraft.webmagic.Page;
import us.codecraft.webmagic.Site;	import us.codecraft.webmagic.Site;
import us.codecraf..webmagic.Spider;	import us.codecraft.webmagic.Spider;
import us.codecraft.webmagic.processor.PagProcessor;	import us.codecraft.webmagic.processor.PageProcessor;
importus.codecraft.webmagic.selector.Html;	import us.codecraft.webmagic.selector.Html;
import us.codecrat.webmagic.selector.Selectable;	import us.codecraft.webmagic.selector.Selectable;
import java.util.ArrayLst;	import java.util.ArrayList;
import java.util.ist;	import java.util.List;
public lassCsdnBlogAuthorSpider implements PageProcessor {	public class CsdnBlogAuthorSpider implements PageProcessor {
private finl Site site = Site	private final Site site = Site
.me	.me()
.setDomain"blog.csdn.net"	.setDomain("blog.csdn.net")
.setSlepTimel300	.setSleepTime(300)
setUserAgentl""Mozila/5/./0/ //M/a/c/i/n/t/o/s/h/;/ /In//e/l/ /M/a/c/ /O/S/ /X/ /1/0/_/7/_/2// // /+/	.setUserAgent("Mozilla/5/./0/ /(/M/a/c/i/n/t/o/s/h/;/ /I/n/t/e/l/ /M/a/c/ /O/S/ /X/ /1/0/_/7/_/2/)/ /"/ /+/
// /  / / / /  / / / / / / / / / / / / / /"/A/p/p/le/W/e/b/K/i/t	/ / / / / / / / / / / / / / / / / / / / /"/A/p/p/l/e/W/e/b/K/i/t
public staticvoid  mainlString args {	public static void main(String[] args) {
Spider.createnewCsdnBlogAuthorSpiderf	Spider.create(new CsdnBlogAuthorSpider())
.addUrl"http:  .runf;	.addUrl("http: .run();
1	}
@Override	@Override
publicvoid processPage page {	public void process(Page page) {
if page..getUrllf.regex"^http:	if (page.getUrl().regex("^http:
Selectable titleSelectable = pagegetHtmlff.xpath	Selectable titleSelectable = page.getHtml().xpath(
"	"
String blogUrl = titleSelectable.links.getl;;	String blogUrl = titleSelectable.links().get();
String id_author = MyStringUtils.getLastSlantContentblogUrlf;	String id_author = MyStringUtils.getLastSlantContent(blogUrl);
String title = titlSelectablexpath String describe = titleSelectable.xpathl"	String title = titleSelectable.xpath(" String describe = titleSelectable.xpath("
	
Selectable  profileSelectable = page.getHtml..xpathl	Selectable profileSelectable = page.getHtml().xpath(
" String name = profileSelectable.xpathl" String headImg = profileSelectable.xpath"  toString;;	" String name = profileSelectable.xpath(" String headImg = profileSelectable.xpath(" .toString();
	
Selecable medalSelectable = profileSelectable	Selectable medalSelectable = profileSelectable
.xpath" boolea isBlogExpert =false;	.xpath(" boolean isBlogExpert = false;
boolean isColmnUp = false	boolean isColumnUp = false;
boolean isPreBlogExpert =  false;	boolean isPreBlogExpert = false;
booleanisPersist = false;	boolean isPersist = false;
boolean isBlogStas = flse	boolean isBlogStars = false;
boolean isMicrMvp  = false;	boolean isMicrMvp = false;
Selectable expert = mealSelectable	Selectable expert = medalSelectable
.xpath" if expert.match	.xpath(" if (expert.match())
if expert..equals"CSDN"f1	if (expert.equals("CSDN")) {
isBlogExpert = true;	isBlogExpert = true;
} else if lexpert.equals"CSDN"  {	} else if (expert.equals("CSDN")) {
isPreBlogExpert = true;	isPreBlogExpert = true;
}	}
Selectable selectble = medalSelectable	Selectable selectable = medalSelectable
xpath" f lselectablematch {	.xpath(" if (selectable.match()) {
List<Strin>honor= selectable.alllf;;	List<String> honor = selectable.all();
List<String>  mHonor = processHonorlhonor;	List<String> mHonor = processHonor(honor);
for String string :  mHonorl {	for (String string : mHonor) {
if  tring.equalsf"zhuanlandarn.png"f	if (string.equals("zhuanlandaren.png"))
isColunUp   true;	isColumnUp = true;
else f fstring.equals""chizhiyiheng.png	else if (string.equals("chizhiyiheng.png"))
isPersist = true;	isPersist = true;
