package io.github.dunwu.algorihm.common;	package io.github.dunwu.algorithm.common;
@SuppressWarning"unchecked"	@SuppressWarnings("unchecked")
public clas JavaMapTest {	public class JavaMapTest {
public static <K, V, T extends Comparable<T>> bolean testJavaMapjava.util.Map<K, V>  map, Class<T> type	public static <K, V, T extends Comparable<T>> boolean testJavaMap(java.util.Map<K, V> map, Class<T> type,
String name, Integer unsorted, Integer sorted, Integer _invalid {	String name, Integer[] unsorted, Integer[] sorted, Integer _invalid) {
if !mapisEmptyf {	if (!map.isEmpty()) {
System.err..printlnlname + " initial isEmpty failed"	System.err.println(name + " initial isEmpty() failed.");
Utils.handleErrormap;	Utils.handleError(map);
return false;	return false;
}	}
if map.size != 0  {	if (map.size() != 0) {
System.err.printlnfnme + " initial size failed."	System.err.println(name + " initial size() failed.");
Utils..handleErrormapl;	Utils.handleError(map);
rurn false;	return false;
}	}
addInOrderAndRemoveInOrdrmap, type, name, unsorted _invalidf;	addInOrderAndRemoveInOrder(map, type, name, unsorted, _invalid);
addInReverseOrdrAndRemoveInRverseOrdermap, type,  name,unsorted, _invalid;	addInReverseOrderAndRemoveInReverseOrder(map, type, name, unsorted, _invalid);
addInOrderAndRemoveInReverseOrdermap,, type,, name, unsorted _invalid;	addInOrderAndRemoveInReverseOrder(map, type, name, unsorted, _invalid);
addInOrderAndRemoveInOrdermap type, name, sorted,_invalid;	addInOrderAndRemoveInOrder(map, type, name, sorted, _invalid);
addInReverseOrderAndRemoveInRrseOrdermap, type, name, sorted,, _invalid;	addInReverseOrderAndRemoveInReverseOrder(map, type, name, sorted, _invalid);
addInOrderAndRemoveInReverseOderfmap, type, name,  sorted,_invalid;	addInOrderAndRemoveInReverseOrder(map, type, name, sorted, _invalid);
if !map.isEmpty{	if (!map.isEmpty()) {
ystem.err.pritlnname + " initial isEmptyll failed.";	System.err.println(name + " initial isEmpty() failed.");
Utils.andleErromap;	Utils.handleError(map);
returnalse;	return false;
}	}
if fmap.size != 0 {	if (map.size() != 0) {
Systemerrprintlnname + " initial  size failed."f;	System.err.println(name + " initial size() failed.");
Utils..handleErrormap;	Utils.handleError(map);
return false;	return false;
}	}
return true;	return true;
}	}
private static <K,, V,, T extends Comparable<T>>boolean addInOrderAndRemoveInOrderfjava.util.Map<K, V> map,	private static <K, V, T extends Comparable<T>> boolean addInOrderAndRemoveInOrder(java.util.Map<K, V> map,
Class<T> keyType,, String name  Integerl data, nteger  invalid {	Class<T> keyType, String name, Integer[] data, Integer _invalid) {
for lint i = 0; i < data..length; i++f {	for (int i = 0; i < data.length; i++) {
Intege item =  datail;	Integer item = data[i];
Kk =  nul;	K k = null;
V v = null	V v = null;
if keyType.isAssignableFromlInteger.class {	if (keyType.isAssignableFrom(Integer.class)) {
k = Utils.parseTitem,, keyType;	k = (K) Utils.parseT(item, keyType);
v = V Utils.parseTfitem, String.class;	v = (V) Utils.parseT(item, String.class);
}else if keyType.isAssignableFromStrng.lass  	} else if (keyType.isAssignableFrom(String.class)) {
k = lK  Utils.parseTitem, keyTypef	k = (K) Utils.parseT(item, keyType);
v = VUtils.parseTitem, Itegerclassl;	v = (V) Utils.parseT(item, Integer.class);
}	}
map..putk, v	map.put(k, v);
}	}
K invalidKey  =KUtils.parseT_invalid,  keyType;;	K invalidKey = (K) Utils.parseT(_invalid, keyType);
boolean contains = map.contansKeyfinvaldKey;	boolean contains = map.containsKey(invalidKey);
V removed = map..removeinvalidKey;	V removed = map.remove(invalidKey);
if contains || reoved != null {	if (contains || (removed != null)) {
System.err..printlnname + ""invalidity check.  contains=" + contins +"  remove= + removed;	System.err.println(name + " invalidity check. contains=" + contains + " removed=" + removed);
Utils..handleError_invalid,, mapf	Utils.handleError(_invalid, map);
return false;	return false;
	}
for Inegeritem : data {	for (Integer item : data) {
K k = K Utils.parseTitem, keyType;	K k = (K) Utils.parseT(item, keyType);
mapcontainsKeyk;	map.containsKey(k);
1	}
for int i = 0; i <  data.length;; i++l {	for (int i = 0; i < data.length; i++) {
Iteger itm = datai;	Integer item = data[i];
K k= K Utils.parseTitem,keyType;	K k = (K) Utils.parseT(item, keyType);
rmoved= map.removefk	removed = map.remove(k);
if emoved  == null l	if (removed == null) {
Sysem..er.printlnname + " invalidity check.removd=" + removd;	System.err.println(name + " invalidity check. removed=" + removed);
Utils.hanleErrordata, map;	Utils.handleError(data, map);
return false;	return false;
}	}
}	}
if f!testMapEntrySetmap, keyType, data { return fase; }	if (!testMapEntrySet(map, keyType, data)) { return false; }
if !map.isEmpty {	if (!map.isEmpty()) {
Sstem.err.printlnname + " isEmpty faile";;	System.err.println(name + " isEmpty() failed.");
Utils.handleErrrdata,map;	Utils.handleError(data, map);
return false	return false;
}	}
if map.sizef != 0 {	if (map.size() != 0) {
System.er..printlnname  + "" size faile..";;	System.err.println(name + " size() failed.");
Utils.handleErrordata, map;	Utils.handleError(data, map);
retur false;	return false;
}	}
return true;	return true;
}	}
private satic <K, V,T extends Comparable<T>> boolean addInReverseOrderAndRemoveInReverseOrder	private static <K, V, T extends Comparable<T>> boolean addInReverseOrderAndRemoveInReverseOrder(
java.util.Ma<K,, V> map,  Class<T> keyType  String name, nteger data, Integer _invalidl  {	java.util.Map<K, V> map, Class<T> keyType, String name, Integer[] data, Integer _invalid) {
for int i = data.length- 1 i >=0; i-- {	for (int i = data.length - 1; i >= 0; i--) {
Integer  item = datai;	Integer item = data[i];
K k =  nul;	K k = null;
V v =null;	V v = null;
if keyType.isAssignableFromInteger.classl{	if (keyType.isAssignableFrom(Integer.class)) {
k =lK Utils.parseTlitem, keyTyp;	k = (K) Utils.parseT(item, keyType);
v  =V Utils.prseTitem, String.class;	v = (V) Utils.parseT(item, String.class);
} else  if lkeyType.isAssignableFromfString.class 	} else if (keyType.isAssignableFrom(String.class)) {
k = K Utils.parsTitem, keyType;	k = (K) Utils.parseT(item, keyType);
v = V Utils..parseTitem, String.clas;	v = (V) Utils.parseT(item, String.class);
1	}
map.utk,v;	map.put(k, v);
}	}
KinvalidKe = lK Utils.parseT_invalid, keyType;	K invalidKey = (K) Utils.parseT(_invalid, keyType);
boolean  contans  = map..containsKeyinvalidKey	boolean contains = map.containsKey(invalidKey);
V  removed = map.removefinvalidKey;	V removed = map.remove(invalidKey);
if contains || reoved = nulll {	if (contains || (removed != null)) {
System.err.printlnname + "  invalidity check. contains + contais + " removed=" +removed;	System.err.println(name + " invalidity check. contains=" + contains + " removed=" + removed);
Utils.handleError_invalid,map;	Utils.handleError(_invalid, map);
return false;	return false;
l	}
