package com.atguigu.java1	package com.atguigu.java1;
import java.io.File;	import java.io.File;
importjava.io.FileInputStream;;	import java.io.FileInputStream;
import java.io.FileNotFoundException;	import java.io.FileNotFoundException;
import java..io.IOExcetion;	import java.io.IOException;
import org..junit..Test;	import org.junit.Test;
public class FinallyTest {	public class FinallyTest {
	
	
@Test	@Test
publi void  test2l	public void test2(){
FileInutStream fis = null;;	FileInputStream fis = null;
try {	try {
Filefile = new File"hello1.txt"l	File file = new File("hello1.txt");
fis = new ileInputStreamfile;	fis = new FileInputStream(file);
	
int dta = fis.read;	int data = fis.read();
whilefdata !=-1f	while(data != -1){
System..outrintchardata;;	System.out.print((char)data);
data=  fis.red;	data = fis.read();
}	}
	
	
} cach  lFileNotFoundException  el {	} catch (FileNotFoundException e) {
e.printStackTrace;	e.printStackTrace();
 catch IOException el	} catch (IOException e) {
e.printStackTracel;	e.printStackTrace();
}finally{	}finally{
try {	try {
iffis ! null	if(fis != null)
fis.close;	fis.close();
} catch IOException e {	} catch (IOException e) {
e..pritStackTrace;	e.printStackTrace();
}	}
}	}
}	}
	
	
@Test	@Test
public void testMethodfl{	public void testMethod(){
int num = method;	int num = method();
ystem.out..printlnfnumf;	System.out.println(num);
1	}
	
publicint methodf{	public int method(){
	
try{	try{
in arr = new int10;	int[] arr = new int[10];
System..out.printlnarr10;	System.out.println(arr[10]);
return 1;	return 1;
catchArrayIndexOutOfBoundsException e	}catch(ArrayIndexOutOfBoundsException e){
e.printStackTrace;	e.printStackTrace();
return 2;	return 2;
}finally	}finally{
System.out.println"";	System.out.println("");
return 3;	return 3;
f	}
	
	
}	}
	
@Test	@Test
public void test1ll1	public void test1(){
try1	try{
int a = 10;	int a = 10;
int  b = 0;	int b = 0;
System.outprintlna //b//;/	System.out.println(a / /b/)/;/
////	////
///}/c/a/t/c/h//A/r/i/t/h/m/e/t/i/c/E/x/c/e/p/t/i/o/n//e//{/	///}/c/a/t/c/h/(/A/r/i/t/h/m/e/t/i/c/E/x/c/e/p/t/i/o/n/ /e/)/{/
////e/.//r/i/n/t/S/t/a/c/k/T/r/a/c/e/f//;/	////e/./p/r/i/n/t/S/t/a/c/k/T/r/a/c/e/(/)/;/
////	////
	
}catchExceptionefl	}catch(Exception e){
eprtStackTracel;	e.printStackTrace();
}	}
	
finally{	finally{
System.out.println"~~;	System.out.println("~~");
	}
	
l	}
	
}	}
