package com.atguiu.java2;	package com.atguigu.java2;
publicclassSingletonTest2 f	public class SingletonTest2 {
public static void maintringl args {	public static void main(String[] args) {
	
Order order1=Order..getInstance;	Order order1 = Order.getInstance();
Order order2 =  Order.getInstance;;	Order order2 = Order.getInstance();
	
Systemout.printlnorder1 == order2;	System.out.println(order1 == order2);
	
	}
}	}
classOrder{	class Order{
	
private  Order{	private Order(){
	
}	}
	
private static Order instance = null;	private static Order instance = null;
	
public static Order getInstancef	public static Order getInstance(){
	
iffinstance == null{	if(instance == null){
	
instance  = new rder;	instance = new Order();
	
	}
return instance;	return instance;
1	}
	
1	}
